comparison,group_type,group,rows,rv30_mean,rv30_median,rv30_std,volume_5m_mean,session_minute_mean,quote_age_median,relative_spread_median
B1Q_EXCLUDED,asset,AAPL,355,0.000014663826055164006,0.00001108923823116823,0.000013949297158575188,465382.6338028169,180.0,1.4840352485,0.03916083916083917
B1Q_EXCLUDED,asset,AMZN,356,0.000017471037637135768,0.000011601197556216054,0.000015969689741861444,338032.6460674157,180.49157303370785,2.88376532925,0.042323792924352434
B1Q_EXCLUDED,asset,META,355,0.000038440235474410564,0.00002502305939506825,0.00004601232637924023,158970.69014084508,180.0,2.528375885,0.031272219400710996
B1Q_EXCLUDED,asset,MSFT,357,0.000015234880062549142,0.000010619176181029243,0.000014381022719639719,286506.46218487393,180.22408963585434,2.7133661965,0.0489208633093526
B1Q_EXCLUDED,asset,NVDA,355,0.000024822630400249546,0.0000171000289918334,0.00002240756456734332,1195591.8112676057,180.0,1.5018977,0.02053422722577105
B1Q_EXCLUDED,asset,QQQ,613,0.000012525131600712447,8.431138068219615e-6,0.00001234339339093296,447462.3496804078,151.92495921696573,0.582261092,0.007240335480693785
B1Q_EXCLUDED,asset,SPY,905,4.305680904958921e-6,2.5355399015668276e-6,5.613319788141612e-6,431796.88508287293,143.69060773480663,1.106104585,0.006734006734006709
B1Q_EXCLUDED,asset,TSLA,355,0.000024784079545017032,0.00001692039026450881,0.000021308226179194704,320043.7070422535,180.0,1.1945545874999999,0.01028169465876435
B1Q_EXCLUDED,time_of_day,first,1506,0.000023465390096876,0.000014984332753359844,0.000025289075577796494,584529.8452855246,68.77158034528553,1.307879607,0.024823283011078362
B1Q_EXCLUDED,time_of_day,last,834,0.000010127478260985555,7.516190849463091e-6,0.000010267596538352898,354471.3980815348,306.7326139088729,1.6955566174999999,0.02083977396548656
B1Q_EXCLUDED,time_of_day,middle,1311,0.000012135940495336639,8.068339805474564e-6,0.00002187213215325122,359617.0681572006,189.1533180778032,1.6201564885000002,0.020542229001440166
STRICT,asset,AAPL,1300,0.00001182808207559118,7.886066587719902e-6,0.000011642682830152208,403115.5207692308,195.0,3.60293180425,0.04326931764744553
STRICT,asset,AMZN,1299,0.000016022256556003865,0.000011505026701059296,0.000015350600616116623,399888.7659718014,194.87682832948423,3.9009912035,0.04094994345574666
STRICT,asset,META,1300,0.000021015429957868897,0.00001431459874656012,0.000022762926602837106,140162.6667434923,195.0,3.3469773050000002,0.04019515024244822
STRICT,asset,MSFT,1298,0.000013519196943156098,9.387850217832964e-6,0.000012204193200238045,313990.01001540833,194.96147919876734,4.893891255,0.05088823500545574
STRICT,asset,NVDA,1300,0.000019460413195837727,0.000014253890268052087,0.000018337004157017074,1110482.111687823,195.0,1.80228267625,0.01800268042392265
STRICT,asset,QQQ,1042,7.243197461696661e-6,4.4506181935025815e-6,0.000012411968623915751,359990.2257255566,215.2303262955854,0.6110277310000001,0.00621863395321128
STRICT,asset,SPY,750,2.116648923615605e-6,1.1215551591741297e-6,3.7526778227367945e-6,401271.4266666667,249.81333333333333,0.49425664849999995,0.005738469749474176
STRICT,asset,TSLA,1300,0.00003207541507096609,0.00002270371397239034,0.000028492168778977628,438556.6187070847,195.0,1.3792530732500001,0.01313981366718632
STRICT,time_of_day,first,2534,0.00002850819642943515,0.00002221379921139458,0.000024384953724332838,605300.0462873401,80.75374901341752,1.546699077,0.02796075717484114
STRICT,time_of_day,last,3166,0.000010943382929494048,7.056979802636919e-6,0.00001284510330207288,398549.8153912603,307.70214782059384,2.425471719,0.020899041237577035
STRICT,time_of_day,middle,3889,0.000012934520347040755,8.988183945941381e-6,0.000016876540380868398,392761.8631171175,193.62818205194137,2.3958162225,0.022433747064743395
