fold,scope,asset,session_tercile,observation_count,session_count,delta_b1v3,positive_value_favors
101,GLOBAL,ALL,ALL,3910,10,0.013131355212549453,B1v3a
101,ASSET,AAPL,ALL,651,10,0.027313309527052975,B1v3a
101,ASSET,AMZN,ALL,649,10,0.001283133747661678,B1v3a
101,ASSET,META,ALL,660,10,0.006935593244868879,B1v3a
101,ASSET,MSFT,ALL,657,10,0.013961529521171682,B1v3a
101,ASSET,NVDA,ALL,657,10,0.0013218803257707729,B1v3a
101,ASSET,TSLA,ALL,636,10,0.028476711895707225,B1v3a
101,SESSION_TERCILE,ALL,first,1136,10,0.007665016148679405,B1v3a
101,SESSION_TERCILE,ALL,last,1223,10,0.01725833692610416,B1v3a
101,SESSION_TERCILE,ALL,middle,1551,10,0.013880847501962069,B1v3a
102,GLOBAL,ALL,ALL,3948,10,-0.03158378344962749,B1v3a
102,ASSET,AAPL,ALL,660,10,-0.01083973694555957,B1v3a
102,ASSET,AMZN,ALL,657,10,0.007410566604497396,B1v3a
102,ASSET,META,ALL,657,10,-0.009852275576033244,B1v3a
102,ASSET,MSFT,ALL,654,10,0.03277406528364652,B1v3a
102,ASSET,NVDA,ALL,660,10,-0.0200451246381858,B1v3a
102,ASSET,TSLA,ALL,660,10,-0.1880890974470654,B1v3a
102,SESSION_TERCILE,ALL,first,1140,10,-0.014062643300338311,B1v3a
102,SESSION_TERCILE,ALL,last,1253,10,-0.05170471751375271,B1v3a
102,SESSION_TERCILE,ALL,middle,1555,10,-0.028215660869460785,B1v3a
103,GLOBAL,ALL,ALL,3719,10,-0.004534578561650118,B1v3a
103,ASSET,AAPL,ALL,602,10,-0.01417283660844906,B1v3a
103,ASSET,AMZN,ALL,621,10,-0.00032434570418966554,B1v3a
103,ASSET,META,ALL,624,10,-0.0012205319543626726,B1v3a
103,ASSET,MSFT,ALL,624,10,-0.0027595540630982332,B1v3a
103,ASSET,NVDA,ALL,624,10,-0.008696614463265254,B1v3a
103,ASSET,TSLA,ALL,624,10,-0.00035315745226850855,B1v3a
103,SESSION_TERCILE,ALL,first,1138,10,0.002534078702137505,B1v3a
103,SESSION_TERCILE,ALL,last,1121,9,-0.008038646796887794,B1v3a
103,SESSION_TERCILE,ALL,middle,1460,10,-0.00735380559897127,B1v3a
