information_set,feature,coefficient,scale,selected_parameters_json
B0,__INTERCEPT__,-11.510055656083384,GAMMA_LOG_LINK,"{""alpha"":0.0,""max_iter"":2000,""tol"":1e-08}"
B0,numeric__b0v2_log_spot,0.1182510122100329,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.0,""max_iter"":2000,""tol"":1e-08}"
B0,numeric__b0v2_underlying_return_5m,-0.017593287529634172,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.0,""max_iter"":2000,""tol"":1e-08}"
B0,numeric__b0v2_underlying_rv_5m,0.0033658317902165824,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.0,""max_iter"":2000,""tol"":1e-08}"
B0,numeric__b0v2_underlying_rv_30m,0.19822192607247222,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.0,""max_iter"":2000,""tol"":1e-08}"
B0,numeric__b0v2_log_dollar_volume_5m,0.4503558091166848,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.0,""max_iter"":2000,""tol"":1e-08}"
B0,numeric__b0v2_spy_return_5m,-0.041375679096880315,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.0,""max_iter"":2000,""tol"":1e-08}"
B0,numeric__b0v2_spy_rv_30m,-0.08727644844288927,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.0,""max_iter"":2000,""tol"":1e-08}"
B0,numeric__b0v2_qqq_return_5m,0.003979479002785031,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.0,""max_iter"":2000,""tol"":1e-08}"
B0,numeric__b0v2_qqq_rv_30m,0.2444609048300234,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.0,""max_iter"":2000,""tol"":1e-08}"
B0,numeric__b0v2_session_sine,0.08725010661975317,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.0,""max_iter"":2000,""tol"":1e-08}"
B0,numeric__b0v2_session_cosine,0.008008138718360562,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.0,""max_iter"":2000,""tol"":1e-08}"
B0,categorical__b0v2_asset_identity_AAPL,-0.5260070677271743,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.0,""max_iter"":2000,""tol"":1e-08}"
B0,categorical__b0v2_asset_identity_AMZN,0.1203164811162707,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.0,""max_iter"":2000,""tol"":1e-08}"
B0,categorical__b0v2_asset_identity_META,0.0350104083296753,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.0,""max_iter"":2000,""tol"":1e-08}"
