asset,bucket,option_type,target_moneyness,attempt_count,quote_returned_count,iv_success_count,iv_success_rate,median_dte,median_quote_age_seconds,median_relative_spread,failure_reason_counts_json
AAPL,long,call,0.95,4284,4284,4237,0.9890289449112979,106.0,2.722817536,0.008948545861297506,"{""NONE"":4237,""STALE_QUOTE"":47}"
AAPL,long,call,0.975,4284,4284,4223,0.9857609710550888,106.0,2.919099776,0.009884678747940715,"{""NONE"":4223,""STALE_QUOTE"":61}"
AAPL,long,call,1.0,4284,4284,4231,0.9876283846872083,106.0,2.86999168,0.010186757215619718,"{""NONE"":4231,""STALE_QUOTE"":53}"
AAPL,long,call,1.025,4284,4284,4233,0.9880952380952381,106.0,3.2991436800000002,0.010989010989010948,"{""NONE"":4233,""STALE_QUOTE"":51}"
AAPL,long,call,1.05,4284,4284,4216,0.9841269841269841,107.0,3.4823051520000003,0.014084507042253596,"{""NONE"":4216,""STALE_QUOTE"":68}"
AAPL,long,put,0.95,4284,4284,4165,0.9722222222222222,106.0,3.480783104,0.017543859649122744,"{""NONE"":4165,""STALE_QUOTE"":119}"
AAPL,long,put,0.975,4284,4284,4180,0.9757236227824463,106.0,3.608734336,0.014084507042253596,"{""NONE"":4180,""STALE_QUOTE"":104}"
AAPL,long,put,1.0,4284,4284,4186,0.9771241830065359,106.0,3.473916288,0.012048192771084293,"{""NONE"":4186,""STALE_QUOTE"":98}"
AAPL,long,put,1.025,4284,4284,4155,0.9698879551820728,106.0,3.872604544,0.01178781925343814,"{""NONE"":4155,""STALE_QUOTE"":129}"
AAPL,long,put,1.05,4284,4284,4100,0.9570494864612512,107.0,4.13636864,0.012987012987012941,"{""NONE"":4100,""STALE_QUOTE"":184}"
AAPL,medium,call,0.95,4284,4284,4177,0.9750233426704015,32.0,3.2445811200000003,0.014705882352941124,"{""NONE"":4177,""STALE_QUOTE"":107}"
AAPL,medium,call,0.975,4284,4284,4220,0.9850606909430439,32.0,2.766848512,0.015999999999999848,"{""INVALID_SPREAD"":1,""NONE"":4220,""STALE_QUOTE"":63}"
AAPL,medium,call,1.0,4284,4284,4189,0.9778244631185807,32.0,3.195085696,0.01967213114754103,"{""NONE"":4189,""STALE_QUOTE"":95}"
AAPL,medium,call,1.025,4284,4284,4152,0.969187675070028,32.0,3.436873344,0.024390243902439157,"{""NONE"":4152,""STALE_QUOTE"":132}"
AAPL,medium,call,1.05,4284,4284,4059,0.9474789915966386,32.0,4.8842817279999995,0.028985507246376756,"{""INVALID_SPREAD"":3,""NONE"":4059,""STALE_QUOTE"":222}"
AAPL,medium,put,0.95,4284,4284,4082,0.9528478057889822,32.0,5.309782655999999,0.02857142857142847,"{""INVALID_SPREAD"":1,""NONE"":4082,""STALE_QUOTE"":201}"
AAPL,medium,put,0.975,4284,4284,4132,0.9645191409897292,32.0,4.143873792,0.027397260273972626,"{""INVALID_SPREAD"":1,""NONE"":4132,""STALE_QUOTE"":151}"
AAPL,medium,put,1.0,4284,4284,4134,0.9649859943977591,32.0,3.49351168,0.02334630350194558,"{""INVALID_SPREAD"":2,""NONE"":4134,""STALE_QUOTE"":148}"
AAPL,medium,put,1.025,4284,4284,4170,0.9733893557422969,32.0,3.427289216,0.019801980198019847,"{""INVALID_SPREAD"":3,""NONE"":4170,""STALE_QUOTE"":111}"
AAPL,medium,put,1.05,4284,4284,4155,0.9698879551820728,32.0,3.231028608,0.019417475728155442,"{""INVALID_SPREAD"":2,""NONE"":4155,""STALE_QUOTE"":127}"
AAPL,short,call,0.95,4284,4284,4125,0.9628851540616247,9.0,2.95139776,0.016736401673640256,"{""ARBITRAGE_BOUND"":3,""NONE"":4125,""STALE_QUOTE"":156}"
AAPL,short,call,0.975,4284,4284,4269,0.9964985994397759,9.0,1.719062272,0.01815435319967041,"{""NONE"":4269,""STALE_QUOTE"":15}"
AAPL,short,call,1.0,4284,4284,4281,0.9992997198879552,9.0,1.4167400959999998,0.01769911504424788,"{""NONE"":4281,""STALE_QUOTE"":3}"
AAPL,short,call,1.025,4284,4284,4279,0.9988328664799253,9.0,1.082125056,0.017391304347826105,"{""NONE"":4279,""STALE_QUOTE"":5}"
AAPL,short,call,1.05,4284,4284,4121,0.9619514472455649,9.0,1.8355607040000002,0.042553191489361625,"{""INVALID_SPREAD"":8,""NONE"":4121,""STALE_QUOTE"":155}"
AAPL,short,put,0.95,4284,4284,4165,0.9722222222222222,9.0,1.814738176,0.03333333333333337,"{""INVALID_SPREAD"":2,""NONE"":4165,""STALE_QUOTE"":117}"
AAPL,short,put,0.975,4284,4284,4272,0.9971988795518207,9.0,1.249996544,0.01980198019801982,"{""NONE"":4272,""STALE_QUOTE"":12}"
AAPL,short,put,1.0,4284,4284,4273,0.9974323062558357,9.0,1.80188736,0.018726657431923005,"{""NONE"":4273,""STALE_QUOTE"":11}"
AAPL,short,put,1.025,4284,4284,4250,0.9920634920634921,9.0,2.280216832,0.0237154150197629,"{""NONE"":4250,""STALE_QUOTE"":34}"
AAPL,short,put,1.05,4284,4284,4048,0.9449112978524743,9.0,5.662409344,0.02051282051282044,"{""ARBITRAGE_BOUND"":7,""NONE"":4048,""STALE_QUOTE"":229}"
AMZN,long,call,0.95,4212,4212,4149,0.9850427350427351,106.0,3.085274112,0.008639308855291546,"{""NONE"":4149,""STALE_QUOTE"":63}"
AMZN,long,call,0.975,3852,3852,3798,0.985981308411215,106.0,2.961830912,0.009538950715421326,"{""NONE"":3798,""STALE_QUOTE"":54}"
AMZN,long,call,1.0,3996,3996,3957,0.9902402402402403,106.0,2.586719744,0.009160305343511364,"{""NONE"":3957,""STALE_QUOTE"":39}"
AMZN,long,call,1.025,4140,4140,4102,0.9908212560386473,105.0,2.7108426239999996,0.009615384615384583,"{""NONE"":4102,""STALE_QUOTE"":38}"
AMZN,long,call,1.05,4284,4284,4236,0.988795518207283,106.0,3.067424256,0.011342155009451821,"{""NONE"":4236,""STALE_QUOTE"":48}"
AMZN,long,put,0.95,4212,4212,4124,0.9791073124406457,106.0,3.7915418880000002,0.01459854014598548,"{""NONE"":4124,""STALE_QUOTE"":88}"
AMZN,long,put,0.975,3852,3852,3788,0.9833852544132918,106.0,3.4491624959999996,0.01219512195121947,"{""NONE"":3788,""STALE_QUOTE"":64}"
AMZN,long,put,1.0,3996,3996,3947,0.9877377377377378,106.0,3.231116032,0.010695187165775362,"{""NONE"":3947,""STALE_QUOTE"":49}"
AMZN,long,put,1.025,4140,4140,4084,0.9864734299516909,105.0,3.362466816,0.010016694490818052,"{""NONE"":4084,""STALE_QUOTE"":56}"
AMZN,long,put,1.05,4284,4284,4204,0.9813258636788048,106.0,3.827465856,0.009244992295839884,"{""NONE"":4204,""STALE_QUOTE"":80}"
AMZN,medium,call,0.95,4212,4212,4096,0.9724596391263058,32.0,3.191694592,0.013840830449827065,"{""INVALID_SPREAD"":2,""NONE"":4096,""STALE_QUOTE"":114}"
AMZN,medium,call,0.975,3852,3852,3789,0.9836448598130841,32.0,3.102583168,0.015113350125944619,"{""NONE"":3789,""STALE_QUOTE"":63}"
AMZN,medium,call,1.0,3996,3996,3870,0.9684684684684685,32.0,3.5428422399999997,0.017391304347826025,"{""INVALID_SPREAD"":1,""NONE"":3870,""STALE_QUOTE"":125}"
AMZN,medium,call,1.025,4140,4140,4008,0.9681159420289855,32.0,3.59996032,0.02214022140221394,"{""NONE"":4008,""STALE_QUOTE"":132}"
AMZN,medium,call,1.05,4284,4284,4126,0.9631185807656396,32.0,3.958368384,0.026200873362445323,"{""NONE"":4126,""STALE_QUOTE"":158}"
AMZN,medium,put,0.95,4212,4212,4062,0.9643874643874644,32.0,4.055588992,0.02898550724637688,"{""INVALID_SPREAD"":4,""NONE"":4062,""STALE_QUOTE"":146}"
AMZN,medium,put,0.975,3852,3852,3741,0.971183800623053,32.0,3.7920576,0.025488603757241105,"{""INVALID_SPREAD"":1,""NONE"":3741,""STALE_QUOTE"":110}"
AMZN,medium,put,1.0,3996,3996,3877,0.9702202202202203,32.0,4.149604992,0.02105263157894742,"{""INVALID_SPREAD"":2,""NONE"":3877,""STALE_QUOTE"":117}"
AMZN,medium,put,1.025,4140,4140,4017,0.9702898550724638,32.0,4.101668736000001,0.017873115256836235,"{""NONE"":4017,""STALE_QUOTE"":123}"
AMZN,medium,put,1.05,4284,4284,4124,0.9626517273576097,32.0,3.5105045759999998,0.01632653061224484,"{""INVALID_SPREAD"":1,""NONE"":4124,""STALE_QUOTE"":159}"
AMZN,short,call,0.95,4284,4284,4230,0.9873949579831933,9.0,2.3923628800000003,0.01634877384196189,"{""ARBITRAGE_BOUND"":1,""NONE"":4230,""STALE_QUOTE"":53}"
AMZN,short,call,0.975,4284,4284,4271,0.9969654528478058,9.0,1.80926272,0.01694915254237297,"{""NONE"":4271,""STALE_QUOTE"":13}"
AMZN,short,call,1.0,4284,4284,4265,0.9955648926237162,9.0,1.63200832,0.01751313485113829,"{""NONE"":4265,""STALE_QUOTE"":19}"
AMZN,short,call,1.025,4284,4284,4276,0.9981325863678805,9.0,1.5935456000000001,0.018691588785046828,"{""NONE"":4276,""STALE_QUOTE"":8}"
AMZN,short,call,1.05,4284,4284,4173,0.9740896358543417,9.0,2.6086772480000002,0.03125000000000003,"{""INVALID_SPREAD"":2,""NONE"":4173,""STALE_QUOTE"":109}"
AMZN,short,put,0.95,4284,4284,4156,0.9701213818860878,9.0,2.92794112,0.03243243243243234,"{""INVALID_SPREAD"":1,""NONE"":4156,""STALE_QUOTE"":127}"
AMZN,short,put,0.975,4284,4284,4265,0.9955648926237162,9.0,1.9476199680000001,0.02150537634408604,"{""INVALID_SPREAD"":2,""NONE"":4265,""STALE_QUOTE"":17}"
AMZN,short,put,1.0,4284,4284,4256,0.9934640522875817,9.0,1.817558912,0.021276595744680774,"{""INVALID_SPREAD"":1,""NONE"":4256,""STALE_QUOTE"":27}"
AMZN,short,put,1.025,4284,4284,4252,0.992530345471522,9.0,2.342134016,0.019543973941368125,"{""NONE"":4252,""STALE_QUOTE"":32}"
AMZN,short,put,1.05,4284,4284,4149,0.9684873949579832,9.0,3.532168064,0.019417475728155442,"{""ARBITRAGE_BOUND"":3,""NONE"":4149,""STALE_QUOTE"":132}"
META,long,call,0.95,4284,4284,4231,0.9876283846872083,108.0,3.5452213759999998,0.008694198537641813,"{""NONE"":4231,""STALE_QUOTE"":53}"
META,long,call,0.975,4284,4284,4228,0.9869281045751634,114.0,3.5864331519999997,0.008658008658008658,"{""NONE"":4228,""STALE_QUOTE"":56}"
META,long,call,1.0,4284,4284,4236,0.988795518207283,115.0,4.22606208,0.0074472486553578115,"{""NONE"":4236,""STALE_QUOTE"":48}"
META,long,call,1.025,4284,4284,4237,0.9890289449112979,113.0,4.396978688,0.007667034062877139,"{""NONE"":4237,""STALE_QUOTE"":47}"
META,long,call,1.05,4284,4284,4244,0.9906629318394025,108.0,4.015736576,0.009188361408881997,"{""NONE"":4244,""STALE_QUOTE"":40}"
META,long,put,0.95,4284,4284,4226,0.9864612511671336,108.0,4.137276160000001,0.010384215991692628,"{""NONE"":4226,""STALE_QUOTE"":58}"
META,long,put,0.975,4284,4284,4235,0.988562091503268,114.0,4.118553856,0.009104704097116972,"{""NONE"":4235,""STALE_QUOTE"":49}"
META,long,put,1.0,4284,4284,4239,0.9894957983193278,115.0,4.22884864,0.008032128514056148,"{""NONE"":4239,""STALE_QUOTE"":45}"
META,long,put,1.025,4284,4284,4243,0.9904295051353875,113.0,4.4697888,0.007522837184309541,"{""NONE"":4243,""STALE_QUOTE"":41}"
META,long,put,1.05,4284,4284,4240,0.9897292250233427,108.0,4.236809087999999,0.007722007722007695,"{""NONE"":4240,""STALE_QUOTE"":44}"
META,medium,call,0.95,4284,4284,4240,0.9897292250233427,32.0,2.950840192,0.01638380107075613,"{""NONE"":4240,""STALE_QUOTE"":44}"
META,medium,call,0.975,4284,4284,4253,0.9927637721755369,32.0,3.41221568,0.015688641177653877,"{""NONE"":4253,""STALE_QUOTE"":31}"
META,medium,call,1.0,4284,4284,4228,0.9869281045751634,32.0,3.912970496,0.01547721410146171,"{""NONE"":4228,""STALE_QUOTE"":56}"
META,medium,call,1.025,4284,4284,4210,0.9827264239028944,32.0,4.02446528,0.017610062893081833,"{""NONE"":4210,""STALE_QUOTE"":74}"
META,medium,call,1.05,4284,4284,4205,0.9815592903828197,32.0,4.291687552,0.021390374331550728,"{""NONE"":4205,""STALE_QUOTE"":79}"
META,medium,put,0.95,4284,4284,4193,0.9787581699346405,32.0,4.399741184,0.023980815347721823,"{""INVALID_SPREAD"":2,""NONE"":4193,""STALE_QUOTE"":89}"
META,medium,put,0.975,4284,4284,4220,0.9850606909430439,32.0,3.8618291200000003,0.019338204588564514,"{""INVALID_SPREAD"":1,""NONE"":4220,""STALE_QUOTE"":63}"
META,medium,put,1.0,4284,4284,4217,0.984360410830999,32.0,3.7697675520000002,0.016642892048725717,"{""INVALID_SPREAD"":1,""NONE"":4217,""STALE_QUOTE"":66}"
META,medium,put,1.025,4284,4284,4251,0.992296918767507,32.0,3.340948352,0.016449368553025978,"{""NONE"":4251,""STALE_QUOTE"":33}"
META,medium,put,1.05,4284,4284,4221,0.9852941176470589,32.0,3.004583296,0.02099506145630094,"{""NONE"":4221,""STALE_QUOTE"":63}"
META,short,call,0.95,4284,4284,4251,0.992296918767507,9.0,2.4896567039999997,0.01863091074518387,"{""INVALID_SPREAD"":1,""NONE"":4251,""STALE_QUOTE"":32}"
META,short,call,0.975,4284,4284,4269,0.9964985994397759,9.0,2.806416128,0.017094017094017137,"{""NONE"":4269,""STALE_QUOTE"":15}"
META,short,call,1.0,4284,4284,4279,0.9988328664799253,9.0,2.516199936,0.019933554817275677,"{""NONE"":4279,""STALE_QUOTE"":5}"
META,short,call,1.025,4284,4284,4272,0.9971988795518207,9.0,2.704326656,0.026200873362445323,"{""NONE"":4272,""STALE_QUOTE"":12}"
META,short,call,1.05,4284,4284,4235,0.988562091503268,9.0,4.0258848,0.03333333333333337,"{""INVALID_SPREAD"":1,""NONE"":4235,""STALE_QUOTE"":48}"
META,short,put,0.95,4284,4284,4245,0.9908963585434174,9.0,4.0782342400000005,0.03389830508474579,"{""NONE"":4245,""STALE_QUOTE"":39}"
META,short,put,0.975,4284,4284,4274,0.9976657329598506,9.0,2.30786304,0.029227557411273603,"{""NONE"":4274,""STALE_QUOTE"":10}"
META,short,put,1.0,4284,4284,4279,0.9988328664799253,9.0,2.471106816,0.021691973969631236,"{""NONE"":4279,""STALE_QUOTE"":5}"
META,short,put,1.025,4284,4284,4277,0.9983660130718954,9.0,2.55961152,0.01863354037267085,"{""NONE"":4277,""STALE_QUOTE"":7}"
META,short,put,1.05,4284,4284,4263,0.9950980392156863,9.0,2.1355336960000004,0.021579748649213408,"{""NONE"":4263,""STALE_QUOTE"":21}"
MSFT,long,call,0.95,4284,4284,4175,0.9745564892623716,106.0,4.5874338560000005,0.010101010101010067,"{""NONE"":4175,""STALE_QUOTE"":109}"
MSFT,long,call,0.975,4284,4284,4143,0.9670868347338936,106.0,4.7016682240000005,0.011191047162270117,"{""NONE"":4143,""STALE_QUOTE"":141}"
MSFT,long,call,1.0,4284,4284,4190,0.9780578898225957,106.0,5.166958976,0.008791208791208916,"{""NONE"":4190,""STALE_QUOTE"":94}"
MSFT,long,call,1.025,4284,4284,4197,0.9796918767507002,106.0,5.3979699199999995,0.009661835748792235,"{""NONE"":4197,""STALE_QUOTE"":87}"
MSFT,long,call,1.05,4284,4284,4154,0.9696545284780579,106.0,5.795234688,0.011834319526627177,"{""NONE"":4154,""STALE_QUOTE"":130}"
MSFT,long,put,0.95,4284,4284,4142,0.9668534080298786,106.0,5.64611904,0.015189873417721374,"{""INVALID_SPREAD"":1,""NONE"":4142,""STALE_QUOTE"":141}"
MSFT,long,put,0.975,4284,4284,4180,0.9757236227824463,106.0,5.557279744000001,0.013029315960912006,"{""INVALID_SPREAD"":1,""NONE"":4180,""STALE_QUOTE"":103}"
MSFT,long,put,1.0,4284,4284,4145,0.9675536881419234,106.0,5.91011136,0.010723860589812294,"{""INVALID_SPREAD"":1,""NONE"":4145,""STALE_QUOTE"":138}"
MSFT,long,put,1.025,4284,4284,4177,0.9750233426704015,106.0,5.735591552,0.009813542688910696,"{""NONE"":4177,""STALE_QUOTE"":107}"
MSFT,long,put,1.05,4284,4284,4189,0.9778244631185807,106.0,4.878065152,0.011940298507462857,"{""NONE"":4189,""STALE_QUOTE"":95}"
MSFT,medium,call,0.95,4284,4284,4143,0.9670868347338936,32.0,3.8784007679999997,0.019088524112299332,"{""NONE"":4143,""STALE_QUOTE"":141}"
MSFT,medium,call,0.975,4284,4284,4140,0.9663865546218487,32.0,4.72566272,0.018296668260800314,"{""NONE"":4140,""STALE_QUOTE"":144}"
MSFT,medium,call,1.0,4284,4284,4103,0.957749766573296,32.0,5.001786112,0.01895734597156408,"{""INVALID_SPREAD"":1,""NONE"":4103,""STALE_QUOTE"":180}"
MSFT,medium,call,1.025,4284,4284,4048,0.9449112978524743,32.0,5.503687936,0.026200873362445323,"{""INVALID_SPREAD"":5,""NONE"":4048,""STALE_QUOTE"":231}"
MSFT,medium,call,1.05,4284,4284,4007,0.9353408029878618,32.0,6.486043135999999,0.03680981595092033,"{""INVALID_SPREAD"":5,""NONE"":4007,""STALE_QUOTE"":272}"
MSFT,medium,put,0.95,4284,4284,3991,0.9316059757236228,32.0,5.82499392,0.03703703703703707,"{""INVALID_SPREAD"":7,""NONE"":3991,""STALE_QUOTE"":286}"
MSFT,medium,put,0.975,4284,4284,4045,0.9442110177404295,32.0,5.947721344,0.030112970869384477,"{""INVALID_SPREAD"":6,""NONE"":4045,""STALE_QUOTE"":233}"
MSFT,medium,put,1.0,4284,4284,4090,0.9547152194211018,32.0,5.449001856000001,0.0235294117647058,"{""INVALID_SPREAD"":3,""NONE"":4090,""STALE_QUOTE"":191}"
MSFT,medium,put,1.025,4284,4284,4177,0.9750233426704015,32.0,4.340198528,0.021680216802167945,"{""INVALID_SPREAD"":1,""NONE"":4177,""STALE_QUOTE"":106}"
MSFT,medium,put,1.05,4284,4284,4176,0.9747899159663865,32.0,3.5968247040000003,0.025835025792118372,"{""NONE"":4176,""STALE_QUOTE"":108}"
MSFT,short,call,0.95,4284,4284,3982,0.9295051353874884,9.0,6.183240703999999,0.01964085452045513,"{""ARBITRAGE_BOUND"":8,""NONE"":3982,""STALE_QUOTE"":294}"
MSFT,short,call,0.975,4284,4284,4248,0.9915966386554622,9.0,3.588901376,0.01869158878504666,"{""NONE"":4248,""STALE_QUOTE"":36}"
MSFT,short,call,1.0,4284,4284,4265,0.9955648926237162,9.0,3.544387712,0.02247191011235947,"{""INVALID_SPREAD"":1,""NONE"":4265,""STALE_QUOTE"":18}"
MSFT,short,call,1.025,4284,4284,4249,0.9918300653594772,9.0,3.446383616,0.02702702702702705,"{""INVALID_SPREAD"":2,""NONE"":4249,""STALE_QUOTE"":33}"
MSFT,short,call,1.05,4284,4284,3920,0.9150326797385621,9.0,7.42703488,0.047619047619047665,"{""INVALID_SPREAD"":4,""NONE"":3920,""STALE_QUOTE"":360}"
MSFT,short,put,0.95,4284,4284,4042,0.9435107376283847,9.0,6.793123712,0.03846153846153849,"{""INVALID_SPREAD"":9,""NONE"":4042,""STALE_QUOTE"":233}"
MSFT,short,put,0.975,4284,4284,4241,0.9899626517273576,9.0,3.941456768,0.028169014084507067,"{""INVALID_SPREAD"":2,""NONE"":4241,""STALE_QUOTE"":41}"
MSFT,short,put,1.0,4284,4284,4261,0.9946311858076564,9.0,3.495597312,0.025531914893617082,"{""INVALID_SPREAD"":2,""NONE"":4261,""STALE_QUOTE"":21}"
