asset,session_tercile,origin_count,level_available_count,lag_5m_available_count,lag_30m_available_count,level_available_rate,lag_5m_available_rate,lag_30m_available_rate
AAPL,ALL,4284,4259,4176,3880,0.9941643323996265,0.9747899159663865,0.9056956115779645
AAPL,first,1500,1496,1433,1136,0.9973333333333333,0.9553333333333334,0.7573333333333333
AAPL,last,1239,1227,1215,1219,0.9903147699757869,0.9806295399515739,0.9838579499596449
AAPL,middle,1545,1536,1528,1525,0.9941747572815534,0.9889967637540453,0.9870550161812298
ALL,ALL,25704,25521,25038,23238,0.9928804855275444,0.9740896358543417,0.90406162464986
ALL,first,9000,8982,8611,6818,0.998,0.9567777777777777,0.7575555555555555
ALL,last,7434,7332,7267,7265,0.9862792574656981,0.9775356470271724,0.9772666128598332
ALL,middle,9270,9207,9160,9155,0.9932038834951457,0.9881337648327939,0.9875943905070119
AMZN,ALL,4284,4237,4147,3845,0.9890289449112979,0.9680205415499533,0.8975256769374417
AMZN,first,1500,1497,1436,1137,0.998,0.9573333333333334,0.758
AMZN,last,1239,1204,1183,1181,0.9717514124293786,0.9548022598870056,0.9531880548829701
AMZN,middle,1545,1536,1528,1527,0.9941747572815534,0.9889967637540453,0.9883495145631068
META,ALL,4284,4267,4192,3894,0.996031746031746,0.9785247432306255,0.9089635854341737
META,first,1500,1500,1440,1140,1.0,0.96,0.76
META,last,1239,1229,1221,1221,0.9919289749798225,0.9854721549636803,0.9854721549636803
META,middle,1545,1538,1531,1533,0.9954692556634305,0.9909385113268608,0.9922330097087378
MSFT,ALL,4284,4213,4105,3806,0.9834267040149393,0.9582166199813259,0.888422035480859
MSFT,first,1500,1491,1426,1128,0.994,0.9506666666666667,0.752
MSFT,last,1239,1210,1190,1190,0.976594027441485,0.96045197740113,0.96045197740113
MSFT,middle,1545,1512,1489,1488,0.9786407766990292,0.9637540453074434,0.9631067961165048
NVDA,ALL,4284,4279,4216,3914,0.9988328664799253,0.9841269841269841,0.9136321195144724
NVDA,first,1500,1499,1438,1138,0.9993333333333333,0.9586666666666667,0.7586666666666667
NVDA,last,1239,1238,1237,1237,0.9991928974979822,0.9983857949959645,0.9983857949959645
NVDA,middle,1545,1542,1541,1539,0.9980582524271845,0.997411003236246,0.996116504854369
TSLA,ALL,4284,4266,4202,3899,0.9957983193277311,0.9808590102707749,0.9101307189542484
TSLA,first,1500,1499,1438,1139,0.9993333333333333,0.9586666666666667,0.7593333333333333
TSLA,last,1239,1224,1221,1217,0.9878934624697336,0.9854721549636803,0.9822437449556094
TSLA,middle,1545,1543,1543,1543,0.998705501618123,0.998705501618123,0.998705501618123
