asset,session_tercile,attempt_count,quote_returned_count,iv_success_count,median_quote_age_seconds,p95_quote_age_seconds,median_relative_spread,p95_relative_spread,failure_reason_counts_json
AAPL,ALL,128520,128520,125479,2.858702848,39.5108718592,0.01709401709401716,0.04444444444444429,"{""ARBITRAGE_BOUND"":10,""INVALID_SPREAD"":23,""NONE"":125479,""STALE_QUOTE"":3008}"
AAPL,first,45000,45000,44665,1.926817024,23.760569996799983,0.018126888217522705,0.04724409448818895,"{""ARBITRAGE_BOUND"":8,""INVALID_SPREAD"":17,""NONE"":44665,""STALE_QUOTE"":310}"
AAPL,last,37170,37170,35741,3.8665152000000003,51.749957465599984,0.01662049861495849,0.042490715351774726,"{""ARBITRAGE_BOUND"":1,""INVALID_SPREAD"":4,""NONE"":35741,""STALE_QUOTE"":1424}"
AAPL,middle,46350,46350,45073,3.367219456,43.8236754688,0.016528925619834725,0.041666666666666706,"{""ARBITRAGE_BOUND"":1,""INVALID_SPREAD"":2,""NONE"":45073,""STALE_QUOTE"":1274}"
ALL,ALL,767376,767376,755772,2.219147008,31.079430656,0.013679890560875515,0.04081632653061219,"{""ARBITRAGE_BOUND"":27,""INVALID_SPREAD"":114,""NONE"":755772,""STALE_QUOTE"":11463}"
ALL,first,268700,268700,267459,1.460173824,18.379816307199995,0.01459854014598548,0.0454545454545455,"{""ARBITRAGE_BOUND"":19,""INVALID_SPREAD"":62,""NONE"":267459,""STALE_QUOTE"":1160}"
ALL,last,221928,221928,216308,2.994080768,40.819885836799976,0.013157894736842176,0.03773584905660381,"{""ARBITRAGE_BOUND"":3,""INVALID_SPREAD"":43,""NONE"":216308,""STALE_QUOTE"":5574}"
ALL,middle,276748,276748,272005,2.710104448,34.64191457279995,0.013245033112582781,0.03773584905660381,"{""ARBITRAGE_BOUND"":5,""INVALID_SPREAD"":9,""NONE"":272005,""STALE_QUOTE"":4729}"
AMZN,ALL,124776,124776,122392,2.9076453119999996,35.958854656,0.015873015873015817,0.04081632653061222,"{""ARBITRAGE_BOUND"":4,""INVALID_SPREAD"":17,""NONE"":122392,""STALE_QUOTE"":2363}"
AMZN,first,43700,43700,43478,1.871482112,20.383455782399935,0.01680672268907557,0.04477946589920328,"{""ARBITRAGE_BOUND"":4,""INVALID_SPREAD"":10,""NONE"":43478,""STALE_QUOTE"":208}"
AMZN,last,36078,36078,34884,4.029077888,48.058773696,0.015384615384615398,0.03773584905660381,"{""INVALID_SPREAD"":7,""NONE"":34884,""STALE_QUOTE"":1187}"
AMZN,middle,44998,44998,44030,3.58310848,39.86094828800001,0.015503875968992192,0.03846153846153849,"{""NONE"":44030,""STALE_QUOTE"":968}"
META,ALL,128520,128520,127241,3.4641994240000002,30.53295240959994,0.01506024096385542,0.04054054054054058,"{""INVALID_SPREAD"":6,""NONE"":127241,""STALE_QUOTE"":1273}"
