asset,session_tercile,eligible_origin_count,terminal_reason_code,terminal_count,terminal_share
AAPL,ALL,4284,B0_INCOMPLETE,360,0.08403361344537816
AAPL,ALL,4284,B1V3A_COMPLETE,3857,0.9003267973856209
AAPL,ALL,4284,B1_EXACT_30M_LAG_MISSING,20,0.004668534080298786
AAPL,ALL,4284,B1_EXACT_5M_LAG_MISSING,23,0.005368814192343604
AAPL,ALL,4284,B1_LEVEL_GEOMETRY_MISSING,24,0.0056022408963585435
AAPL,first,1500,B0_INCOMPLETE,360,0.24
AAPL,first,1500,B1V3A_COMPLETE,1133,0.7553333333333333
AAPL,first,1500,B1_EXACT_30M_LAG_MISSING,1,0.0006666666666666666
AAPL,first,1500,B1_EXACT_5M_LAG_MISSING,3,0.002
AAPL,first,1500,B1_LEVEL_GEOMETRY_MISSING,3,0.002
AAPL,last,1239,B1V3A_COMPLETE,1207,0.9741727199354318
AAPL,last,1239,B1_EXACT_30M_LAG_MISSING,8,0.00645682001614205
AAPL,last,1239,B1_EXACT_5M_LAG_MISSING,12,0.009685230024213076
AAPL,last,1239,B1_LEVEL_GEOMETRY_MISSING,12,0.009685230024213076
AAPL,middle,1545,B1V3A_COMPLETE,1517,0.9818770226537217
AAPL,middle,1545,B1_EXACT_30M_LAG_MISSING,11,0.007119741100323625
AAPL,middle,1545,B1_EXACT_5M_LAG_MISSING,8,0.005177993527508091
AAPL,middle,1545,B1_LEVEL_GEOMETRY_MISSING,9,0.005825242718446602
ALL,ALL,25704,B0_INCOMPLETE,2160,0.08403361344537816
ALL,ALL,25704,B1V3A_COMPLETE,23134,0.9000155617802676
ALL,ALL,25704,B1_EXACT_30M_LAG_MISSING,106,0.004123871770930595
ALL,ALL,25704,B1_EXACT_5M_LAG_MISSING,123,0.004785247432306256
ALL,ALL,25704,B1_LEVEL_GEOMETRY_MISSING,181,0.007041705571117336
ALL,first,9000,B0_INCOMPLETE,2160,0.24
ALL,first,9000,B1V3A_COMPLETE,6807,0.7563333333333333
ALL,first,9000,B1_EXACT_30M_LAG_MISSING,6,0.0006666666666666666
ALL,first,9000,B1_EXACT_5M_LAG_MISSING,11,0.0012222222222222222
ALL,first,9000,B1_LEVEL_GEOMETRY_MISSING,16,0.0017777777777777779
ALL,last,7434,B1V3A_COMPLETE,7209,0.9697336561743342
ALL,last,7434,B1_EXACT_30M_LAG_MISSING,58,0.00780199085283831
ALL,last,7434,B1_EXACT_5M_LAG_MISSING,65,0.008743610438525692
ALL,last,7434,B1_LEVEL_GEOMETRY_MISSING,102,0.013720742534301856
ALL,middle,9270,B1V3A_COMPLETE,9118,0.9836030204962244
ALL,middle,9270,B1_EXACT_30M_LAG_MISSING,42,0.004530744336569579
ALL,middle,9270,B1_EXACT_5M_LAG_MISSING,47,0.005070118662351672
ALL,middle,9270,B1_LEVEL_GEOMETRY_MISSING,63,0.006796116504854369
AMZN,ALL,4284,B0_INCOMPLETE,360,0.08403361344537816
AMZN,ALL,4284,B1V3A_COMPLETE,3819,0.8914565826330533
AMZN,ALL,4284,B1_EXACT_30M_LAG_MISSING,28,0.006535947712418301
AMZN,ALL,4284,B1_EXACT_5M_LAG_MISSING,30,0.0070028011204481795
AMZN,ALL,4284,B1_LEVEL_GEOMETRY_MISSING,47,0.010971055088702147
AMZN,first,1500,B0_INCOMPLETE,360,0.24
AMZN,first,1500,B1V3A_COMPLETE,1136,0.7573333333333333
AMZN,first,1500,B1_EXACT_5M_LAG_MISSING,1,0.0006666666666666666
AMZN,first,1500,B1_LEVEL_GEOMETRY_MISSING,3,0.002
AMZN,last,1239,B1V3A_COMPLETE,1163,0.9386602098466506
AMZN,last,1239,B1_EXACT_30M_LAG_MISSING,20,0.016142050040355124
AMZN,last,1239,B1_EXACT_5M_LAG_MISSING,21,0.01694915254237288
AMZN,last,1239,B1_LEVEL_GEOMETRY_MISSING,35,0.02824858757062147
AMZN,middle,1545,B1V3A_COMPLETE,1520,0.9838187702265372
AMZN,middle,1545,B1_EXACT_30M_LAG_MISSING,8,0.005177993527508091
AMZN,middle,1545,B1_EXACT_5M_LAG_MISSING,8,0.005177993527508091
AMZN,middle,1545,B1_LEVEL_GEOMETRY_MISSING,9,0.005825242718446602
META,ALL,4284,B0_INCOMPLETE,360,0.08403361344537816
META,ALL,4284,B1V3A_COMPLETE,3879,0.9054621848739496
META,ALL,4284,B1_EXACT_30M_LAG_MISSING,13,0.003034547152194211
META,ALL,4284,B1_EXACT_5M_LAG_MISSING,15,0.0035014005602240898
META,ALL,4284,B1_LEVEL_GEOMETRY_MISSING,17,0.003968253968253968
