artifact,role,logical_path,sha256
design,preregistered_design,docs/superpowers/specs/2026-08-15-b1-diagnosis-independent-replication-design.md,45738baa5f87b1e6348283b7d96b0fbcf5d3cb13daff7a653748b721b4b43ec7
spec_analysis,spec_kit_gate,docs/recovery/b1_diagnostic_replication_spec_analysis.md,ea196088f3df2d1b172a424dd7782169fe293e8c4ba92c84f9ed05daae59c38b
diagnostic,development_only_diagnosis,artifacts/b1_diagnostic_replication/diagnostic/diagnostic.json,e989798e9c222fe55252cb6a2944920358f33b842b680a8d653cb5da5efad683
diagnostic_human_report,development_only_diagnosis,docs/b1_diagnostic_findings_20260815.md,3d6dbbc5bf3f78c5c457be8952008bba2e63c57804c81b85088221c13ceaf322
preregistration,frozen_before_provider_payload,artifacts/b1_diagnostic_replication/preregistration/preregistration.json,0497b969ac7c9d0611f9954d44a73b4f825cf21b47e62d000266dafd6bb49e3a
provider_preflight,authenticated_target_blind_preflight,artifacts/b1_diagnostic_replication/provider_preflight/provider_preflight_report.json,0ee16a9f300af781f3ea2077e6ff1da35eb333caef5586bd96305b288d478c10
full_tape_manifest,immutable_raw_and_parquet_binding,artifacts/b1_diagnostic_replication/acquisition/full_tape_acquisition_manifest.json,68bda047aad76a5ee86e598888950ca1b72628378d73911dce2e726cd3d83c00
base_manifest,target_blind_b0,artifacts/b1_diagnostic_replication/panel/base_predictor_manifest.json,719a4a1f5e6c2e86440e3ff71fdec12f199077b1c17dc1017f8f4a3f6e55ba01
b1q_source_manifest,target_blind_b1_source,artifacts/b1_diagnostic_replication/panel/b1q_source_manifest.json,efca0da72bd4b987977c10372a649f9f1affabed31c62185bbb8377b9286e4d4
b2_manifest,target_blind_b2,artifacts/b1_diagnostic_replication/panel/b2_predictor_manifest.json,3cd87a7558e81bbb4becfa504e8414a27bcaa6d61778420fa6ca558263ed3648
common_manifest,target_blind_primary_panel,artifacts/b1_diagnostic_replication/panel/common_predictor_manifest.json,c9b83be044d68f135711de42bb9ac59b8e929e3ab85b0c529bb670d5f7cc10f4
timing_manifest,target_blind_sensitivity_panels,artifacts/b1_diagnostic_replication/panel/timing_common_manifest.json,2abfd4a9acc881de8f1211388d1517f99bd30b8b360def80b7b819990299e8b7
method_freeze,frozen_before_replication_read,artifacts/b1_diagnostic_replication/method_freeze/method_freeze.json,154f59ae58332dc360f4e2e0f428228a332b0d27ec27fd9a6110dcd4e36d759d
quality_report,pre_read_quality_gate,artifacts/b1_diagnostic_replication/access/quality_report.json,4047062ed367e799c824fc77ac56d9d59219cf5b920b8d6f8dcd5d0c86c730f4
frozen_access,one_read_authorization,artifacts/b1_diagnostic_replication/access/access_ledger_frozen.json,4ec914e87703d31010c6fb05f97dd3b2ef05cc8b292259a98d45f56b3abe3cbd
consumed_access,irrevocable_read_receipt,artifacts/b1_diagnostic_replication/access/access_ledger_consumed.json,bf6b427abd89d5697952b4af6f0059d67c68beaf621f4d5a968891b78600bb29
result,machine_readable_scientific_result,artifacts/b1_diagnostic_replication/result/result.json,61f543d98f9802723d28690ce3c995e07910233a7894af18851c97855f8b1194
result_human_report,scientific_result,docs/recovery/b1_independent_replication_result_20260815.md,49ab75e12d4914c849038885cb40448c39c0ec7d2e81385c82ae8079477a9e4e
pytest_report,quality_evidence,artifacts/b1_diagnostic_replication/quality/pytest.xml,b5fde3909f51542c6642635a935201a8160d2b1a9a75485b7ae3eb751db67f13
coverage_report,quality_evidence,artifacts/b1_diagnostic_replication/quality/coverage.json,f0f3a8e05026e85ac28f1086fcf61b04d3331af168086dd7b0e6397cd3f6c312
test_summary,quality_evidence,artifacts/b1_diagnostic_replication/quality/test_report.txt,f8c5c23ee10f95bde9e6d3006d634b3ab69db4c65619c7f1d1ea07f7853dc9c1
final_handoff,closure_report,reports/B1_DIAGNOSTIC_INDEPENDENT_REPLICATION_HANDOFF.md,29b2501e39e7fc6f547adaff9aeea87c9f9353ea843dbeeea973230bac9a8edf
