origin_id,asset,session_date,forecast_origin_utc,session_segment,b1t_atm_iv,b1t_skew,b1t_complete,b1t_b1b_complete,b1t_b1c_complete,b1t_valid_contract_count,b1t_valid_quote_count,b1t_valid_expiry_bucket_count,b1t_median_quote_age,b1t_median_relative_spread,b1t_iv_inversion_success_rate,b1t_missing_reason
AAPL:2026-07-13T13:35:00+00:00,AAPL,2026-07-13,2026-07-13T13:35:00+00:00,first,0.28520028339301423,0.014885847273550967,true,true,true,247,247,3,140.234774,0.07751937984496124,0.9391634980988594,
AAPL:2026-07-13T13:40:00+00:00,AAPL,2026-07-13,2026-07-13T13:40:00+00:00,first,0.2863104010534808,0.00874493096213802,true,true,true,241,241,3,99.291501,0.08917197452229295,0.9796747967479674,
AAPL:2026-07-13T13:45:00+00:00,AAPL,2026-07-13,2026-07-13T13:45:00+00:00,first,0.28979283898089825,0.015751418301284348,true,true,true,221,221,3,101.721324,0.0796252927400468,0.9910313901345291,
AAPL:2026-07-13T13:50:00+00:00,AAPL,2026-07-13,2026-07-13T13:50:00+00:00,middle,0.29113217370758576,0.007421782618559747,true,true,true,232,232,3,96.1139325,0.06266697607444818,1.0,
AAPL:2026-07-13T13:55:00+00:00,AAPL,2026-07-13,2026-07-13T13:55:00+00:00,middle,0.3045672442174592,-0.0226597815135941,true,true,true,237,237,3,114.866877,0.05882352941176468,1.0,
AAPL:2026-07-13T14:00:00+00:00,AAPL,2026-07-13,2026-07-13T14:00:00+00:00,middle,0.27617571357055004,-0.00503945994915822,true,true,true,198,198,3,131.1788335,0.057534354539978544,0.9949748743718593,
AAPL:2026-07-13T14:05:00+00:00,AAPL,2026-07-13,2026-07-13T14:05:00+00:00,middle,0.2949228607190997,-0.007593965501718425,true,true,true,173,173,3,147.394679,0.060985144644253406,1.0,
AAPL:2026-07-13T14:10:00+00:00,AAPL,2026-07-13,2026-07-13T14:10:00+00:00,middle,0.29148289109259096,-0.0038319073404223802,true,true,true,165,165,3,124.794398,0.050314465408805076,1.0,
AAPL:2026-07-13T14:15:00+00:00,AAPL,2026-07-13,2026-07-13T14:15:00+00:00,middle,0.28721685713406286,0.0061374890450238695,true,true,true,142,142,3,140.0829025,0.049669010320299314,1.0,
AAPL:2026-07-13T14:20:00+00:00,AAPL,2026-07-13,2026-07-13T14:20:00+00:00,middle,0.29328773800187186,-0.011136119820676638,true,true,true,195,195,3,141.421309,0.07580174927113707,1.0,
