route,origin_id,asset,session_date,all_failed_checks
B1Q,AAPL:2026-07-13T13:35:00+00:00,AAPL,2026-07-13,""
B1Q,AAPL:2026-07-13T13:40:00+00:00,AAPL,2026-07-13,""
B1Q,AAPL:2026-07-13T13:45:00+00:00,AAPL,2026-07-13,""
B1Q,AAPL:2026-07-13T13:50:00+00:00,AAPL,2026-07-13,""
B1Q,AAPL:2026-07-13T13:55:00+00:00,AAPL,2026-07-13,""
B1Q,AAPL:2026-07-13T14:00:00+00:00,AAPL,2026-07-13,""
B1Q,AAPL:2026-07-13T14:05:00+00:00,AAPL,2026-07-13,""
B1Q,AAPL:2026-07-13T14:10:00+00:00,AAPL,2026-07-13,""
B1Q,AAPL:2026-07-13T14:15:00+00:00,AAPL,2026-07-13,""
B1Q,AAPL:2026-07-13T14:20:00+00:00,AAPL,2026-07-13,""
B1Q,AAPL:2026-07-13T14:25:00+00:00,AAPL,2026-07-13,""
B1Q,AAPL:2026-07-13T14:30:00+00:00,AAPL,2026-07-13,""
B1Q,AAPL:2026-07-13T14:35:00+00:00,AAPL,2026-07-13,""
B1Q,AAPL:2026-07-13T14:40:00+00:00,AAPL,2026-07-13,""
B1Q,AAPL:2026-07-13T14:45:00+00:00,AAPL,2026-07-13,""
B1Q,AAPL:2026-07-13T14:50:00+00:00,AAPL,2026-07-13,""
B1Q,AAPL:2026-07-13T14:55:00+00:00,AAPL,2026-07-13,""
B1Q,AAPL:2026-07-13T15:00:00+00:00,AAPL,2026-07-13,""
B1Q,AAPL:2026-07-13T15:05:00+00:00,AAPL,2026-07-13,""
B1Q,AAPL:2026-07-13T15:10:00+00:00,AAPL,2026-07-13,""
B1Q,AAPL:2026-07-13T15:15:00+00:00,AAPL,2026-07-13,SKEW_PAIR_MISSING|SKEW_PAIR_MISSING|TERM_BUCKET_MISSING
B1Q,AAPL:2026-07-13T15:20:00+00:00,AAPL,2026-07-13,SKEW_PAIR_MISSING|SKEW_PAIR_MISSING|TERM_BUCKET_MISSING
