block_id,model_name,group_type,group,estimate,ci_low,ci_high,p_value_two_sided,clusters,observations,repetitions,seed
block_a_2024_08_02_2024_09_13,gamma_glm,asset,AAPL,0.09346569178833374,0.038049922260337425,0.1581736990718433,0.0009995002498750624,30,1980,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,asset,AMZN,0.04397022092546351,-0.003129318585734496,0.10268159442338425,0.07496251874062969,30,1980,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,asset,META,0.011598413031161558,-0.0008571126163562103,0.02424509608005759,0.06996501749125437,30,1980,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,asset,MSFT,-0.02507712091463147,-0.05367998577037538,0.005339400936917613,0.11694152923538231,30,1980,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,asset,NVDA,0.31676160287011834,0.21824019989743687,0.4269045885062895,0.0009995002498750624,30,1980,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,asset,TSLA,0.016971809044416218,-0.0027829020030341674,0.04445245444557932,0.11394302848575712,30,1980,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,session_tercile,first,0.060182121034324416,0.016847739320310393,0.12066232890838721,0.0009995002498750624,30,3600,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,session_tercile,last,0.1283791407685359,0.0766133570663749,0.18684503497811303,0.0009995002498750624,30,3600,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,session_tercile,middle,0.0485912133898567,0.03333230637704852,0.06364514695015798,0.0009995002498750624,30,4680,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,volatility_regime,high,0.14525492953870156,0.09910152636959947,0.18817317301451036,0.0009995002498750624,30,5735,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,volatility_regime,low,0.01720732509222203,-0.0022216926999819144,0.03461558300636451,0.07396301849075462,28,2526,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,volatility_regime,normal,0.00821351120956624,-0.01134420588273924,0.028603503920729047,0.4287856071964018,30,3619,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,asset,AAPL,-0.006793804775431405,-0.028124160889979027,0.008795506973996137,0.5057471264367817,30,1980,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,asset,AMZN,-0.0646656616979396,-0.09367757139255296,-0.0397484551764461,0.0009995002498750624,30,1980,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,asset,META,-0.04660624614758028,-0.08827389060223155,-0.016219562276112473,0.0009995002498750624,30,1980,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,asset,MSFT,-0.007389097704415244,-0.01803770364671315,0.0017360043217213858,0.12693653173413294,30,1980,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,asset,NVDA,-0.0034410476207218286,-0.009226724311128653,0.0025569465271117705,0.26686656671664166,30,1980,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,asset,TSLA,-0.016822487573773283,-0.02865339590757415,-0.007020749114027062,0.0009995002498750624,30,1980,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,session_tercile,first,-0.03330041407618883,-0.05151577734439503,-0.017062896800732977,0.0009995002498750624,30,3600,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,session_tercile,last,-0.028974087743312348,-0.05799864506306408,-0.006846003021574409,0.004997501249375313,30,3600,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,session_tercile,middle,-0.01374660632032517,-0.025267252726511875,-0.004613597688390904,0.001999000499750125,30,4680,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,volatility_regime,high,-0.04247661485297474,-0.06944984195636747,-0.017646085090970147,0.0009995002498750624,30,5735,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,volatility_regime,low,0.0011816198465233563,-0.0072877747958405145,0.010403286502269153,0.7986006996501749,28,2526,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,volatility_regime,normal,-0.013236725526342613,-0.01951178555777346,-0.007479841056220162,0.0009995002498750624,30,3619,2000,650
block_a_2024_08_02_2024_09_13,har_rv,asset,AAPL,0.11681348958695938,0.040263604409489714,0.20259385294500748,0.0029985007496251873,30,1980,2000,650
block_a_2024_08_02_2024_09_13,har_rv,asset,AMZN,0.03348263026992594,-0.02979631010922274,0.11629604717256416,0.39580209895052476,30,1980,2000,650
block_a_2024_08_02_2024_09_13,har_rv,asset,META,-0.04086806739205494,-0.0707077118785507,-0.016408102267134527,0.001999000499750125,30,1980,2000,650
block_a_2024_08_02_2024_09_13,har_rv,asset,MSFT,-0.08820982711814601,-0.12971762837149003,-0.043751163549053056,0.0009995002498750624,30,1980,2000,650
block_a_2024_08_02_2024_09_13,har_rv,asset,NVDA,0.3152794083697609,0.21320892929268878,0.4237859053497297,0.0009995002498750624,30,1980,2000,650
block_a_2024_08_02_2024_09_13,har_rv,asset,TSLA,-0.018717434549261256,-0.03227330772352008,-0.0026285447940818706,0.02798600699650175,30,1980,2000,650
