asset,availability_spec,rows,option_trade_count_5m_median,unique_contract_count_5m_median,total_premium_5m_median,max_trade_premium_5m_median,total_contract_size_5m_median,max_contract_size_5m_median,call_premium_5m_median,put_premium_5m_median,call_put_premium_imbalance_median,ask_side_premium_share_median,bid_side_premium_share_median,midpoint_premium_share_median,multileg_trade_share_median,sweep_or_equivalent_share_median,strike_concentration_median,expiry_concentration_median,median_days_to_expiry_median,median_absolute_moneyness_median,repeated_contract_trade_count_median,repeated_contract_premium_median,implied_volatility_median_median,median_implied_volatility_median,within_bin_iv_change_median,valid_trade_share_median,missing_iv_share_median,option_trade_count_5m_p95,unique_contract_count_5m_p95,total_premium_5m_p95,max_trade_premium_5m_p95,total_contract_size_5m_p95,max_contract_size_5m_p95,call_premium_5m_p95,put_premium_5m_p95,call_put_premium_imbalance_p95,ask_side_premium_share_p95,bid_side_premium_share_p95,midpoint_premium_share_p95,multileg_trade_share_p95,sweep_or_equivalent_share_p95,strike_concentration_p95,expiry_concentration_p95,median_days_to_expiry_p95,median_absolute_moneyness_p95,repeated_contract_trade_count_p95,repeated_contract_premium_p95,implied_volatility_median_p95,median_implied_volatility_p95,within_bin_iv_change_p95,valid_trade_share_p95,missing_iv_share_p95
AAPL,primary_60s,1420,1655.5,210.0,2728626.5,159050.0,10273.0,442.5,1848396.5,694675.5,1005867.0,0.4466528471349862,0.45484122835214136,0.9845978282562302,0.0,0.0,0.24299985576410532,0.5057526792532913,1.0,0.011699957489286872,1555.5,2290757.5,0.32284922576468666,0.32284922576468666,3.1805058468343437,1.0,0.0,5574.0,377.0,9871251.0,1280000.0,33644.0,1529.0,7236863.0,2750618.0,5564099.0,0.6112984891575775,0.6275259813336812,0.9964266076092416,0.0,0.0,0.36067297581493163,0.6654488517745303,7.0,0.027666571346868674,5413.0,8627513.0,0.46942435829684,0.46942435829684,18.58644340713178,1.0,0.0
AAPL,sensitivity_0s,1420,2050.5,236.0,3467648.0,188335.0,12914.0,500.0,2403430.5,875077.0,1351982.5,0.44648662741899403,0.4519268791309068,0.9838918911720922,0.0,0.0,0.24181286549707603,0.5050318621822747,1.0,0.011690618839979239,1935.5,2943231.0,0.3231825646465961,0.3231825646465961,3.5441550650317657,1.0,0.0,6916.0,420.0,12228484.0,1540000.0,40137.0,1914.0,8778439.0,3333471.0,6909292.0,0.6044045411548867,0.6125432897906502,0.9962003501507543,0.0,0.0,0.36051899907321594,0.6572571682596132,6.0,0.027692750909287356,6794.0,10284797.0,0.468370436481775,0.468370436481775,20.7069639427944,1.0,0.0
AAPL,sensitivity_15s,1420,1944.0,229.0,3323160.5,183942.5,12398.0,498.5,2285141.5,825635.5,1255556.5,0.4473258517781627,0.4520568860711405,0.9840392046159662,0.0,0.0,0.2415092216546642,0.505021892780005,1.0,0.011699957489286872,1841.5,2787438.5,0.32311521665974885,0.32311521665974885,3.459884062075667,1.0,0.0,6631.0,410.0,11712015.0,1535370.0,38707.0,1900.0,8317500.0,3165818.0,6667499.0,0.6055922977796218,0.6170284090064176,0.9962507113412078,0.0,0.0,0.35968,0.6580142764438677,6.0,0.02801551216902909,6479.0,9811779.0,0.468677043143196,0.468677043143196,20.502179313644024,1.0,0.0
AMZN,primary_60s,1420,1185.5,219.0,3516476.5,167346.0,6483.0,309.0,2005401.0,1173493.0,788213.5,0.4587273148835641,0.450412914347304,0.9862486841898204,0.0,0.0,0.18402032662667286,0.36299614944868563,3.0,0.0272054310497859,1075.0,3004093.5,0.4067200000165523,0.4067200000165523,2.728106872122548,1.0,0.0,3872.0,392.0,10018779.0,1417500.0,20955.0,1498.0,6656220.0,4198349.0,4955747.0,0.6147413554746504,0.6276187566044216,0.9978748954161193,0.0,0.0,0.2823397075365579,0.519087754090233,9.0,0.05923572068768834,3681.0,8942537.0,0.496593444881874,0.496593444881874,13.372083888317594,1.0,0.0
AMZN,sensitivity_0s,1420,1458.5,248.0,4374513.0,209832.0,8102.5,383.5,2576061.5,1478808.5,1006052.0,0.45629922695533687,0.4496542039618024,0.9860706703957041,0.0,0.0,0.18259355268012362,0.36323768722878075,3.0,0.027195190881050546,1342.0,3829915.5,0.4060817316220975,0.4060817316220975,2.903490638251229,1.0,0.0,4846.0,426.0,12342826.0,1705000.0,26252.0,1750.0,8266569.0,5049941.0,5955359.0,0.6066070889207447,0.6098144685371466,0.9972371003137002,0.0,0.0,0.2806243637597557,0.5174708818635607,8.0,0.05936604212537899,4673.0,11142360.0,0.497062634238513,0.497062634238513,14.973002046195454,1.0,0.0
AMZN,sensitivity_15s,1420,1389.5,240.0,4160936.0,200507.5,7693.5,369.0,2454895.5,1405177.5,943896.5,0.4564261865583008,0.4467678883501333,0.9860438832269518,0.0,0.0,0.18276299064854884,0.3643140027190894,3.0,0.027176115274715418,1276.0,3592950.0,0.40634016363805203,0.40634016363805203,2.837818942962237,1.0,0.0,4582.0,419.0,11770028.0,1670000.0,25069.0,1750.0,7781076.0,4796386.0,5793676.0,0.610526587875897,0.6166799006614841,0.9976590676800918,0.0,0.0,0.2806873977086743,0.5217948717948718,8.0,0.05846987594733055,4427.0,10612574.0,0.49690837593583903,0.49690837593583903,14.850222772539318,1.0,0.0
META,primary_60s,1420,1188.0,292.0,4221772.5,274075.0,4618.0,200.0,2585019.5,1359499.0,1114329.5,0.44122492333080443,0.46712190630089084,0.9879827368436046,0.0,0.0,0.11841450641529196,0.46074360074360077,2.0,0.024469489501756092,1026.0,3165631.5,0.45733732853944653,0.45733732853944653,4.203402531256906,1.0,0.0,4721.0,644.0,21230949.0,2309400.0,18054.0,1050.0,15194117.0,5644649.0,12471669.0,0.6347674371213556,0.6412126514315459,0.9985016173710834,0.0,0.0,0.19510385756676557,0.6068938807126258,8.0,0.06530307872589747,4486.0,16648753.0,0.726834600642139,0.726834600642139,11.624202722880469,1.0,0.0
META,sensitivity_0s,1420,1461.0,337.5,5300730.5,323216.0,5627.0,230.0,3220636.0,1729681.0,1377302.5,0.441627585981359,0.4668182543215276,0.987932542931112,0.0,0.0,0.11722530733151082,0.45956386608560523,2.0,0.024670412508981054,1286.0,4043182.5,0.457732218703246,0.457732218703246,4.452877490704479,1.0,0.0,5816.0,722.0,26663670.0,3072500.0,22125.0,1388.0,18662340.0,7118002.0,15360772.0,0.6240520496772605,0.6326210625540442,0.9984223237343597,0.0,0.0,0.19394078494376865,0.6059171597633136,8.0,0.06513242866967484,5527.0,20715660.0,0.725743862279375,0.725743862279375,11.789786458788775,1.0,0.0
META,sensitivity_15s,1420,1391.0,326.0,5064929.5,308800.0,5368.0,218.5,3028018.5,1651564.5,1316815.5,0.4418840919464362,0.4665009168975437,0.9879079147714382,0.0,0.0,0.11725873997129745,0.4605802738235194,2.0,0.024744159726049708,1223.0,3830667.0,0.4576902022570213,0.4576902022570213,4.378290784499074,1.0,0.0,5527.0,702.0,24811080.0,2730000.0,21372.0,1317.0,17723494.0,6820230.0,14919442.0,0.6231717952373634,0.6291957212159519,0.9984745180660617,0.0,0.0,0.19451371571072318,0.6091370558375635,8.0,0.06515178412923861,5248.0,19240535.0,0.720573105906223,0.720573105906223,11.751867715258706,1.0,0.0
MSFT,primary_60s,1420,1213.0,301.0,3510273.5,237739.0,5903.0,251.0,2273141.0,969857.5,1095586.0,0.43575379549540294,0.4725009373267228,0.9807345381781691,0.0,0.0,0.15914214280879058,0.36917098445595853,4.0,0.024791832952728132,1052.5,2623787.5,0.3980167307389806,0.3980167307389806,1.6862614672606808,1.0,0.0,4176.0,565.0,13642194.0,1731110.0,20283.0,1335.0,8412203.0,5355127.0,5914989.0,0.6165834025973497,0.6528649571770456,0.9967629393622558,0.0,0.0,0.24385964912280703,0.5073557148245945,17.0,0.05381584404811279,3916.0,11332316.0,0.501451311556719,0.501451311556719,8.146644004440828,1.0,0.0
