definition,cutoff,percentile,origins,unusual_event_prevalence
asset,primary_60s,0.95,11360,0.05017605633802817
asset,sensitivity_15s,0.95,11360,0.07288732394366197
asset,sensitivity_0s,0.95,11360,0.08089788732394367
5m,primary_60s,0.95,11360,0.05
5m,sensitivity_15s,0.95,11360,0.13996478873239437
5m,sensitivity_0s,0.95,11360,0.1590669014084507
30m,primary_60s,0.95,11360,0.05
30m,sensitivity_15s,0.95,11360,0.09375
30m,sensitivity_0s,0.95,11360,0.10959507042253522
60m,primary_60s,0.95,11360,0.05
60m,sensitivity_15s,0.95,11360,0.08204225352112676
60m,sensitivity_0s,0.95,11360,0.09410211267605634
30m,primary_60s,0.9,11360,0.1
30m,primary_60s,0.95,11360,0.05
30m,primary_60s,0.975,11360,0.02535211267605634
