artifact,bytes,sha256,status,secret_values_emitted,personal_paths_emitted
artifacts/calibration_20d/download_manifest.json,55582,7627ca3ebf82f24abfd89bdf08aed22b19a649677b43e89360464c5b62865fb3,PASS,False,False
artifacts/calibration_20d/storage_telemetry.csv,9168,1d95e7b44ae78343529e446295ef01599dade0be7204e4001055a26529ab9856,PRESENT,False,False
artifacts/calibration_20d/raw_integrity_report.json,1258,7e35eeabf23cc980040854fcf2fd9a364e14087a8eacd501a956349d943e21f2,PASS,False,False
artifacts/calibration_20d/b2_calibration_panel.parquet,3236082,69e492a1c7425409e9f1cd6e352989d5941818a805eb66ef7df7b8ae7b68859d,PRESENT,False,False
artifacts/calibration_20d/b2_calibration_parameters.json,124323,1cea5c62ccaf673c79de2568845ec9446ecf875acb0913967f83f4b6dfe82b6f,PASS,False,False
artifacts/calibration_20d/b2_feature_distributions.csv,15982,b4bd9311ceeac1e1392e434315cd6694797d5a790d00b3bd4198a7d8ef5971d9,PRESENT,False,False
artifacts/calibration_20d/unusual_score_distribution.csv,858,2de506d51bf3c58953f9a3008256e89636f4533de9bee189dbdc18bcaaaea4ff,PRESENT,False,False
artifacts/calibration_20d/pilot_v2_unusual_scores.parquet,311623,833a86ae1d3355d65614f1d0caa28e9c7762bf10b475191e09b62ed34e5395b3,PRESENT,False,False
artifacts/calibration_20d/unusual_event_prevalence.csv,216,726237f138d3eddbd0334216b0a0f3f6f8f624db2429275b493a06594e0b0759,PRESENT,False,False
artifacts/calibration_20d/b1_coverage_20d.json,7344,aea9a46338de5287d0398997abab8f8d6570412115748a51b1f2c284a2a84b16,PASS_B1Q_20_SESSION_RECOMPUTATION,False,False
artifacts/calibration_20d/b1_coverage_by_asset.csv,1125,fc168bd51a04e8ca6d7da54bb0dbfcdbf87c0f19ee9b7c1c5d4011338565f0f6,PRESENT,False,False
artifacts/calibration_20d/b1_coverage_by_session_segment.csv,403,1f180cc8b195f2926bba157d9491fbf9e3267acd094b1816a91af79c18ae8e1b,PRESENT,False,False
artifacts/calibration_20d/test_report.txt,2108,d9bfd11bd97e06ae033f1f22c7117ee312a9485fe68084abf76f8139e47a6ce2,PRESENT,False,False
