session_date,raw_bytes,parquet_bytes,rows_seen,rows_retained,download_seconds,download_time_observed,decompression_seconds,decompression_filter_seconds,filter_seconds,aggregation_seconds,attempts,duplicate_event_ids,python_peak_traced_bytes,python_peak_working_set_bytes,memory_observed,raw_sha256,schema_fingerprint,resumable,status,measurement_note
2026-06-11,1740968640,313911069,12420300,5290070,0.0,False,374.28231159999996,374.28231159999996,374.28231159999996,not_run_in_downloader,0,0,,561569792,True,e2bf961ec15027f2e1aba8dd8bdf433b51f88e7056a5464ea13d6cbf0976f97d,3a2285fa84f0683df7334cbf0d6670805ea3a7b007c4b5a511779e7c4413581d,True,PASS,Streaming zipfile inflate and CSV filtering are measured as one bounded stage; aggregation is recorded by the calibration runners.
2026-06-12,1730548455,298356335,12420921,5046137,0.0,False,317.0247449000017,317.0247449000017,317.0247449000017,not_run_in_downloader,0,0,,571527168,True,81bfe5620c87c0475ddef9f15c03b7e6d4ed79f36e612ec4bb136a19ac2f2103,3a2285fa84f0683df7334cbf0d6670805ea3a7b007c4b5a511779e7c4413581d,True,PASS,Streaming zipfile inflate and CSV filtering are measured as one bounded stage; aggregation is recorded by the calibration runners.
2026-06-15,1569073138,244015831,11643779,4530614,0.0,False,242.42042590000347,242.42042590000347,242.42042590000347,not_run_in_downloader,0,0,,564305920,True,8a22c54415c79a17354c881aeb21f8c3357772ebc647fa928ed39fd40e2f5534,3a2285fa84f0683df7334cbf0d6670805ea3a7b007c4b5a511779e7c4413581d,True,PASS,Streaming zipfile inflate and CSV filtering are measured as one bounded stage; aggregation is recorded by the calibration runners.
2026-06-16,1481208123,224005673,10978174,4199201,128.1303063000014,True,233.97356460000447,233.97356460000447,233.97356460000447,not_run_in_downloader,1,0,,562700288,True,2dc86846285065546f111c618e4abbcec6353c14b51c130bcad13d8cf1ed6a7a,3a2285fa84f0683df7334cbf0d6670805ea3a7b007c4b5a511779e7c4413581d,True,PASS,Streaming zipfile inflate and CSV filtering are measured as one bounded stage; aggregation is recorded by the calibration runners.
2026-06-17,1647688604,261937982,12041316,4820985,140.25044759999946,True,250.80921169999783,250.80921169999783,250.80921169999783,not_run_in_downloader,1,0,,551350272,True,30f582ff5c1b4d2e6710e4d5af2bb20d9989b7fee78b47b1b55173264ca1c5f1,3a2285fa84f0683df7334cbf0d6670805ea3a7b007c4b5a511779e7c4413581d,True,PASS,Streaming zipfile inflate and CSV filtering are measured as one bounded stage; aggregation is recorded by the calibration runners.
2026-06-18,1712283291,246026546,12630836,4577480,295.01484470000287,True,225.15058439999848,225.15058439999848,225.15058439999848,not_run_in_downloader,2,0,,541093888,True,68a150930f17e76b08b775bb55c17cc4421669b779e224f40af02fd187e2103a,3a2285fa84f0683df7334cbf0d6670805ea3a7b007c4b5a511779e7c4413581d,True,PASS,Streaming zipfile inflate and CSV filtering are measured as one bounded stage; aggregation is recorded by the calibration runners.
2026-06-22,1526896277,235424029,11511455,4481994,151.99176459999944,True,214.3809867999953,214.3809867999953,214.3809867999953,not_run_in_downloader,2,0,,564592640,True,1151a53259fae34c071af088467a64c19c9475f1aff8e971f506512457132824,3a2285fa84f0683df7334cbf0d6670805ea3a7b007c4b5a511779e7c4413581d,True,PASS,Streaming zipfile inflate and CSV filtering are measured as one bounded stage; aggregation is recorded by the calibration runners.
2026-06-23,1451536363,238999762,10901973,4520781,124.77772750000076,True,240.6591757999995,240.6591757999995,240.6591757999995,not_run_in_downloader,1,0,,521240576,True,f521c43dc086f6dd3d03aa5942fe8c40ba224800ab48c747ba5744cdf458bdde,3a2285fa84f0683df7334cbf0d6670805ea3a7b007c4b5a511779e7c4413581d,True,PASS,Streaming zipfile inflate and CSV filtering are measured as one bounded stage; aggregation is recorded by the calibration runners.
2026-06-24,1554960413,252253493,11665127,4738830,138.05274640000061,True,230.39712199999485,230.39712199999485,230.39712199999485,not_run_in_downloader,1,0,,551403520,True,b1162aa100390e021be604114f971b171b95adf8707567b107505d2196eac0bf,3a2285fa84f0683df7334cbf0d6670805ea3a7b007c4b5a511779e7c4413581d,True,PASS,Streaming zipfile inflate and CSV filtering are measured as one bounded stage; aggregation is recorded by the calibration runners.
2026-06-25,1586346612,262547609,11799579,4927309,137.69219259999954,True,193.84364850000566,193.84364850000566,193.84364850000566,not_run_in_downloader,1,0,,519045120,True,50a20d7d55d84a19c3863249582cdb8b631b62f62148c2e0284c6050510532b2,3a2285fa84f0683df7334cbf0d6670805ea3a7b007c4b5a511779e7c4413581d,True,PASS,Streaming zipfile inflate and CSV filtering are measured as one bounded stage; aggregation is recorded by the calibration runners.
2026-06-26,1634487083,261787687,12235450,4941575,139.0493996999976,True,189.57327340000484,189.57327340000484,189.57327340000484,not_run_in_downloader,1,0,,521969664,True,36513d0b830c34474f75128b37e0977e37d33228e82982ba32e150b2a5966d28,3a2285fa84f0683df7334cbf0d6670805ea3a7b007c4b5a511779e7c4413581d,True,PASS,Streaming zipfile inflate and CSV filtering are measured as one bounded stage; aggregation is recorded by the calibration runners.
2026-06-29,1543861067,256221470,11545123,4840676,131.93171040000016,True,184.56049650000205,184.56049650000205,184.56049650000205,not_run_in_downloader,1,0,,523792384,True,0c36810c6b18f7bdb907aac01b5ad208d05db94f3341dc2c92810eb4666df18e,3a2285fa84f0683df7334cbf0d6670805ea3a7b007c4b5a511779e7c4413581d,True,PASS,Streaming zipfile inflate and CSV filtering are measured as one bounded stage; aggregation is recorded by the calibration runners.
2026-06-30,1363768963,210249451,10243413,3992666,117.73042609999902,True,158.22178010000061,158.22178010000061,158.22178010000061,not_run_in_downloader,1,0,,521076736,True,c0bee702066b595c4701bf96d26e139ae6e31df7eecbcefbaa8df9ede11909e3,3a2285fa84f0683df7334cbf0d6670805ea3a7b007c4b5a511779e7c4413581d,True,PASS,Streaming zipfile inflate and CSV filtering are measured as one bounded stage; aggregation is recorded by the calibration runners.
2026-07-01,1536831767,244811409,11532927,4617766,131.29669360000116,True,183.69637019999936,183.69637019999936,183.69637019999936,not_run_in_downloader,1,0,,515641344,True,75de5d9fbe69dff6d8cb75e03f0b38dadb3973a099078c24ff53dd3bffc7e854,3a2285fa84f0683df7334cbf0d6670805ea3a7b007c4b5a511779e7c4413581d,True,PASS,Streaming zipfile inflate and CSV filtering are measured as one bounded stage; aggregation is recorded by the calibration runners.
2026-07-02,1815998476,295602869,13635353,5568790,155.67019379999692,True,213.37373629999638,213.37373629999638,213.37373629999638,not_run_in_downloader,1,0,,520536064,True,927a58567a02edb6440dc718c038ff674d0065b95fc5f0c2e4ecd44be683a1df,3a2285fa84f0683df7334cbf0d6670805ea3a7b007c4b5a511779e7c4413581d,True,PASS,Streaming zipfile inflate and CSV filtering are measured as one bounded stage; aggregation is recorded by the calibration runners.
2026-07-06,1416382418,238723550,10712758,4538533,120.6044912000034,True,171.06837749999977,171.06837749999977,171.06837749999977,not_run_in_downloader,1,0,,545271808,True,0d4b58a2eb3440044f074dd85ef3cf4ba0baae54f8cf6666f4c51cfd7988ff52,3a2285fa84f0683df7334cbf0d6670805ea3a7b007c4b5a511779e7c4413581d,True,PASS,Streaming zipfile inflate and CSV filtering are measured as one bounded stage; aggregation is recorded by the calibration runners.
2026-07-07,1445209982,240277030,10857626,4540646,123.61478680000073,True,178.880026800005,178.880026800005,178.880026800005,not_run_in_downloader,1,0,,538759168,True,99e1acfc45d73b6b7d05f7ce287e103fcdb4e92845cf059f270dc5a839b241d4,3a2285fa84f0683df7334cbf0d6670805ea3a7b007c4b5a511779e7c4413581d,True,PASS,Streaming zipfile inflate and CSV filtering are measured as one bounded stage; aggregation is recorded by the calibration runners.
2026-07-08,1430803401,256738979,10734781,4817802,171.40283790000103,True,167.0967668000012,167.0967668000012,167.0967668000012,not_run_in_downloader,3,0,,524079104,True,5764f14ba032adee946802d71080f8c6acb36c498351734250e2bd5e7c623b1d,3a2285fa84f0683df7334cbf0d6670805ea3a7b007c4b5a511779e7c4413581d,True,PASS,Streaming zipfile inflate and CSV filtering are measured as one bounded stage; aggregation is recorded by the calibration runners.
2026-07-09,1366321172,226036917,10257807,4286092,117.24107419999928,True,149.74398559999827,149.74398559999827,149.74398559999827,not_run_in_downloader,1,0,,547516416,True,35709e8577c2ee02dad8e690771985a9778c81f95d59b65bb454f8b96b24084c,3a2285fa84f0683df7334cbf0d6670805ea3a7b007c4b5a511779e7c4413581d,True,PASS,Streaming zipfile inflate and CSV filtering are measured as one bounded stage; aggregation is recorded by the calibration runners.
2026-07-10,1446803464,252393689,10895776,4762080,123.8742164000032,True,174.83045290000155,174.83045290000155,174.83045290000155,not_run_in_downloader,1,0,,528875520,True,b60acd6c55712a6f84badcfa7b5064add2d59439991c31d22948802d3bcafc6b,3a2285fa84f0683df7334cbf0d6670805ea3a7b007c4b5a511779e7c4413581d,True,PASS,Streaming zipfile inflate and CSV filtering are measured as one bounded stage; aggregation is recorded by the calibration runners.
