artifact,category,storage,bytes,sha256,secrets_emitted,personal_paths_emitted
artifacts/independent_replication/acquisition_incidents/2025-04-04_crc_failure.json,acquisition_incident,repository,1375,a1883c36dc7d01e3a55f114b3ff8d9e5b3ff3466c253d8d807fbe03fc65ed213,False,False
artifacts/independent_replication/acquisition_manifest.json,acquisition_manifest,repository,330456,e3bb8ecece694a815f3536527881322cb3e6ce49097d909d46e84697dc4c637a,False,False
artifacts/independent_replication/b2_manifest.json,b2_manifest,repository,836,39f9f5a377c4b1b3c0ac81a7612e911179b71ac7c01c316fd05f88383c8a38d7,False,False
MDS650_DATA_ROOT/derived/common_complete_90d.parquet,common_complete_panel,D,4739641,040213cc75d363cd955dee8207f54441068ce529173071b418d3f043ebc6ad28,False,False
MDS650_DATA_ROOT/derived/common_panel_90d.parquet,common_panel,D,5925173,0e5a73aab9bb11a8bfc7363ad32d49261523ab6d36e9a9ce057d3323910b5ef7,False,False
artifacts/methodology/development_contrasts_v2.json,development_contrasts,repository,7331,7103af6f1ced7bd94b5c875c1032552c28e1a05ae21dcffe1996cc979fe970d0,False,False
artifacts/methodology/development_model_comparison.json,development_model_comparison,repository,10998,65ef1ea2cde50eee5cc2babdf0d76d495e3eef68f54d5d701dc2bc7282e53d3b,False,False
docs/model_and_mde_comparison_v2.md,development_report,repository,3831,0e7fa58b6256e470a3f6ba0ace71a6905b23903206fa2806918393d1aaebe19e,False,False
docs/development_stability_audit_v2.md,development_stability_report,repository,2063,dc81a3b5579fd845ca6357d4808b0a6a01dd78f24c6065a22f2c7add5765b6f6,False,False
artifacts/independent_replication/evaluation_incidents/20260811_bootstrap_contract.json,evaluation_incident,repository,1133,6731a904f19c76f01c64326c0fea3e626d92018a4f1cd80d1376b6393ca9079c,False,False
docs/independent_replication_execution.md,execution_contract,repository,4033,c7b3f0b2cdfbb57953c7dcfa1de8d940e18f82f749cac6cc167a9beba82fdb21,False,False
docs/independent_replication_30_session_results.md,human_report,repository,10665,5f65cd29cd4c46066a039f31dc8bffb5f60048603d2f5fbcea2dae1a50a0e5d0,False,False
artifacts/independent_replication/method_freeze.json,method_freeze,repository,1555,79682a761751a899df3b3822f10ff33054f86bc3f65d2f29cbe810a4c068528f,False,False
artifacts/independent_replication/independent_panel_manifest.json,panel_manifest,repository,794,10e2633f65debbc96ea8b7fbac7074a24a0e75467c46b00abd1aff3dc2c4d350,False,False
artifacts/independent_replication/parameter_freeze.json,parameter_freeze,repository,1659,b8f7f98d65e43c041b06f771514c5b59b7826977144b211e7f0af082322c61ec,False,False
MDS650_DATA_ROOT/derived/independent_predictions.parquet,predictions,D,2228104,9eff5f614df42850b421ce22150eeb8c14c1ef425fa01b4649895143c6481d60,False,False
artifacts/independent_replication/independent_results.json,results,repository,76129,24a2c2eefc772390c7c9bace00de6d1ffb2d33331ac17f47722db9689f9c8f5b,False,False
artifacts/independent_replication/stability.parquet,stability_flattened,repository,10424,335802834f171f77ab477d38023a1d85bc1f3b7c81738c3c32fffdf5211f70a0,False,False
artifacts/independent_replication/target_access_ledger.json,target_access_ledger,repository,1110,8983bc9578eb6b13d6b88d556829b3998d9047752534d92825402aaeaf85a11d,False,False
artifacts/independent_replication/target_acquisition_summary_v1.json,target_acquisition_summary,repository,1752,8141d1da015b81bbcd39779d60c841f993d7f5278d1baceb353eb78851343d21,False,False
artifacts/independent_replication/test_report.txt,test_report,repository,1075,a6e749a2cd3b476a737be44aa086e82ab3a6f2ea1fbc9f9904b309477c1f3c3d,False,False
MDS650_DATA_ROOT/derived/independent_timing_predictions.parquet,timing_predictions,D,5223449,e68810dc7975ea2dc78c04c4391a21c5a67956ee9baa4bc3c1cd9b08e9529070,False,False
