fold,feature,psi
1,b2_log_trade_count,0.03719741226903961
1,b2_unique_contract_share,0.06901129275213215
1,b2_log_mean_trade_premium,0.03470930050441813
1,b2_log_max_trade_premium,0.012675255810636698
1,b2_call_put_premium_imbalance_scaled,0.19448010226413534
1,b2_execution_side_premium_imbalance,0.007789054347487141
1,b2_repeated_contract_premium_share,0.015103755053217729
1,b2_strike_concentration,0.006800605681698407
1,b2_expiry_concentration,0.022989442236433184
2,b2_log_trade_count,0.05068795016595672
2,b2_unique_contract_share,0.08879677521439097
2,b2_log_mean_trade_premium,0.03786465535588408
2,b2_log_max_trade_premium,0.003913187678490897
2,b2_call_put_premium_imbalance_scaled,0.22413652507910412
2,b2_execution_side_premium_imbalance,0.007962687832894094
2,b2_repeated_contract_premium_share,0.02738400013789049
2,b2_strike_concentration,0.012579391989805715
2,b2_expiry_concentration,0.23361892893962566
3,b2_log_trade_count,0.03819658774519828
3,b2_unique_contract_share,0.11653195343166826
3,b2_log_mean_trade_premium,0.057661537915242714
3,b2_log_max_trade_premium,0.004855211018919919
3,b2_call_put_premium_imbalance_scaled,0.18608147679322287
3,b2_execution_side_premium_imbalance,0.012050191644324672
3,b2_repeated_contract_premium_share,0.02993685955936553
3,b2_strike_concentration,0.039156801655147795
3,b2_expiry_concentration,0.343451038035013
4,b2_log_trade_count,0.033496418666011295
4,b2_unique_contract_share,0.18131445298940685
4,b2_log_mean_trade_premium,0.08199433685448748
4,b2_log_max_trade_premium,0.008459805871251305
4,b2_call_put_premium_imbalance_scaled,0.03243374663584678
4,b2_execution_side_premium_imbalance,0.020537025154110655
4,b2_repeated_contract_premium_share,0.11379242501920125
4,b2_strike_concentration,0.043919866497015375
4,b2_expiry_concentration,0.6204304032110908
