feature_a,feature_b,pearson_abs_corr
b2_log_trade_count,b2_unique_contract_share,0.8651225906828843
b2_log_trade_count,b2_log_mean_trade_premium,0.07582242733448408
b2_log_trade_count,b2_log_max_trade_premium,0.40534095782884977
b2_log_trade_count,b2_call_put_premium_imbalance_scaled,0.031272664407813844
b2_log_trade_count,b2_execution_side_premium_imbalance,0.08244745291531436
b2_log_trade_count,b2_repeated_contract_premium_share,0.42934327687129614
b2_log_trade_count,b2_strike_concentration,0.2810275427908353
b2_log_trade_count,b2_expiry_concentration,0.6030678158382837
b2_unique_contract_share,b2_log_mean_trade_premium,0.24310510366829424
b2_unique_contract_share,b2_log_max_trade_premium,0.26466418848421164
b2_unique_contract_share,b2_call_put_premium_imbalance_scaled,0.012890203710830024
b2_unique_contract_share,b2_execution_side_premium_imbalance,0.09194295771280757
b2_unique_contract_share,b2_repeated_contract_premium_share,0.4912174985342741
b2_unique_contract_share,b2_strike_concentration,0.4914324212824184
b2_unique_contract_share,b2_expiry_concentration,0.5843130495621367
b2_log_mean_trade_premium,b2_log_max_trade_premium,0.6269304648967466
b2_log_mean_trade_premium,b2_call_put_premium_imbalance_scaled,0.06573819361376601
b2_log_mean_trade_premium,b2_execution_side_premium_imbalance,0.004180733589141573
b2_log_mean_trade_premium,b2_repeated_contract_premium_share,0.14923602954827186
b2_log_mean_trade_premium,b2_strike_concentration,0.33821419862079727
b2_log_mean_trade_premium,b2_expiry_concentration,0.14416225953544778
b2_log_max_trade_premium,b2_call_put_premium_imbalance_scaled,0.02162902555038424
b2_log_max_trade_premium,b2_execution_side_premium_imbalance,0.02799170125682756
b2_log_max_trade_premium,b2_repeated_contract_premium_share,0.10217105312853121
b2_log_max_trade_premium,b2_strike_concentration,0.019776703581034526
b2_log_max_trade_premium,b2_expiry_concentration,0.1769034587923496
b2_call_put_premium_imbalance_scaled,b2_execution_side_premium_imbalance,0.04652291283681851
b2_call_put_premium_imbalance_scaled,b2_repeated_contract_premium_share,0.10831548213847103
b2_call_put_premium_imbalance_scaled,b2_strike_concentration,0.093254447720184
b2_call_put_premium_imbalance_scaled,b2_expiry_concentration,0.047238988505797955
b2_execution_side_premium_imbalance,b2_repeated_contract_premium_share,0.057263496602048006
b2_execution_side_premium_imbalance,b2_strike_concentration,0.06789718900857512
b2_execution_side_premium_imbalance,b2_expiry_concentration,0.05556067669858536
b2_repeated_contract_premium_share,b2_strike_concentration,0.17346598808685654
b2_repeated_contract_premium_share,b2_expiry_concentration,0.24727408331219167
b2_strike_concentration,b2_expiry_concentration,0.19009526786652667
