asset,origin_utc,date,hour,atm_iv_available,skew_available,term_structure_available,b1a_complete,b1b_complete,b1c_complete,iv_contract_count,iv_inversion_attempts,iv_inversion_successes,valid_expiry_bucket_count,valid_moneyness_count,median_quote_age_seconds,median_relative_spread,quote_selection,usable_for_primary
AAPL,2025-07-25T13:35:00+00:00,2025-07-25,13:35,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
AAPL,2025-07-25T16:00:00+00:00,2025-07-25,16:00,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
AAPL,2025-07-25T19:30:00+00:00,2025-07-25,19:30,True,True,True,True,True,True,30,30,30,3,5,9.235693,0.012783918513757066,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
AAPL,2026-01-16T14:35:00+00:00,2026-01-16,14:35,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
AAPL,2026-01-16T17:00:00+00:00,2026-01-16,17:00,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
AAPL,2026-01-16T20:30:00+00:00,2026-01-16,20:30,True,False,True,True,False,False,7,8,7,2,4,2.053437,0.01980198019801982,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
AAPL,2026-07-20T13:35:00+00:00,2026-07-20,13:35,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
AAPL,2026-07-20T16:00:00+00:00,2026-07-20,16:00,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
AAPL,2026-07-20T19:30:00+00:00,2026-07-20,19:30,True,True,True,True,True,True,22,22,22,3,6,0.42743299999999995,0.040251927812992055,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
AMZN,2025-07-25T13:35:00+00:00,2025-07-25,13:35,False,False,False,False,False,False,2,2,2,1,2,2.708135,0.05156833782257367,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
AMZN,2025-07-25T16:00:00+00:00,2025-07-25,16:00,True,True,True,True,True,True,7,7,7,2,4,17.643575,0.02690582959641262,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
AMZN,2025-07-25T19:30:00+00:00,2025-07-25,19:30,True,True,True,True,True,True,24,24,24,3,8,5.409209000000001,0.015897414301356043,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
AMZN,2026-01-16T14:35:00+00:00,2026-01-16,14:35,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
AMZN,2026-01-16T17:00:00+00:00,2026-01-16,17:00,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
AMZN,2026-01-16T20:30:00+00:00,2026-01-16,20:30,False,False,True,False,False,False,8,8,8,3,3,2.1525455,0.00957264957264943,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
AMZN,2026-07-20T13:35:00+00:00,2026-07-20,13:35,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
AMZN,2026-07-20T16:00:00+00:00,2026-07-20,16:00,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
AMZN,2026-07-20T19:30:00+00:00,2026-07-20,19:30,True,True,True,True,True,True,29,29,29,3,8,0.663733,0.028125000000000067,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
META,2025-07-25T13:35:00+00:00,2025-07-25,13:35,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
META,2025-07-25T16:00:00+00:00,2025-07-25,16:00,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
META,2025-07-25T19:30:00+00:00,2025-07-25,19:30,True,True,True,True,True,True,29,29,29,3,6,3.270035,0.012539184952978124,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
META,2026-01-16T14:35:00+00:00,2026-01-16,14:35,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
META,2026-01-16T17:00:00+00:00,2026-01-16,17:00,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
META,2026-01-16T20:30:00+00:00,2026-01-16,20:30,True,True,True,True,True,True,30,30,30,3,7,2.066757,0.009812101859726266,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
META,2026-07-20T13:35:00+00:00,2026-07-20,13:35,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
META,2026-07-20T16:00:00+00:00,2026-07-20,16:00,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
META,2026-07-20T19:30:00+00:00,2026-07-20,19:30,True,True,True,True,True,True,30,30,30,3,7,0.035177,0.02514547513099346,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
MSFT,2025-07-25T13:35:00+00:00,2025-07-25,13:35,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
MSFT,2025-07-25T16:00:00+00:00,2025-07-25,16:00,False,False,False,False,False,False,1,1,1,1,1,37.377016,0.030942334739803137,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
MSFT,2025-07-25T19:30:00+00:00,2025-07-25,19:30,True,True,True,True,True,True,29,30,29,3,6,3.546658,0.014367816091954025,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
MSFT,2026-01-16T14:35:00+00:00,2026-01-16,14:35,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
MSFT,2026-01-16T17:00:00+00:00,2026-01-16,17:00,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
MSFT,2026-01-16T20:30:00+00:00,2026-01-16,20:30,True,True,True,True,True,True,28,28,28,3,10,1.8704115,0.010051011404032195,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
MSFT,2026-07-20T13:35:00+00:00,2026-07-20,13:35,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
MSFT,2026-07-20T16:00:00+00:00,2026-07-20,16:00,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
MSFT,2026-07-20T19:30:00+00:00,2026-07-20,19:30,True,True,True,True,True,True,30,30,30,3,5,0.4081475,0.03418803418803422,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
NVDA,2025-07-25T13:35:00+00:00,2025-07-25,13:35,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
NVDA,2025-07-25T16:00:00+00:00,2025-07-25,16:00,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
NVDA,2025-07-25T19:30:00+00:00,2025-07-25,19:30,True,True,True,True,True,True,15,17,17,3,9,0.870998,0.015037593984962485,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
NVDA,2026-01-16T14:35:00+00:00,2026-01-16,14:35,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
NVDA,2026-01-16T17:00:00+00:00,2026-01-16,17:00,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
