granularity,cohort,session_date,asset,both_timestamps_completeness,both_timestamps_count,created_at_completeness,created_at_missing_count,created_at_non_null_count,executed_at_completeness,executed_at_missing_count,executed_at_non_null_count,latency_max_seconds,latency_min_seconds,latency_p1_seconds,latency_p50_seconds,latency_p5_seconds,latency_p90_seconds,latency_p95_seconds,latency_p99_seconds,latency_within_120_seconds_count,latency_within_120_seconds_share,latency_within_300_seconds_count,latency_within_300_seconds_share,latency_within_60_seconds_count,latency_within_60_seconds_share,negative_latency_count,negative_latency_share,percentile_method,quantile_sample_count,row_count
asset,independent_replication_30,,AAPL,1.0,14196962,1.0,0,14196962,1.0,0,14196962,358.861499,0.030672,0.04052857,0.0691905,0.046159200000000004,0.1033267,0.1329139,0.33872777000000603,14189456,0.9994712953376926,14194008,0.9997919273151538,14185816,0.9992149024558916,0,0.0,deterministic_hash_sample,4320,14196962
asset,independent_replication_30,,AMZN,1.0,9908531,1.0,0,9908531,1.0,0,9908531,353.826613,0.030711,0.038454,0.069814,0.045136,0.1051,0.135781,0.548363,9898538,0.9989914751238099,9906051,0.9997497106281446,9895288,0.9986634749389188,0,0.0,deterministic_hash_sample,3001,9908531
asset,independent_replication_30,,META,1.0,10214566,1.0,0,10214566,1.0,0,10214566,360.507674,0.030709,0.03987504,0.072547,0.0465984,0.13833979999999999,0.25805599999999945,2.539489919999997,10210460,0.9995980250164325,10213650,0.9999103241390774,10209441,0.9994982655161266,0,0.0,deterministic_hash_sample,3145,10214566
asset,independent_replication_30,,MSFT,1.0,5426320,1.0,0,5426320,1.0,0,5426320,364.481595,0.030889,0.04008113,0.07459099999999999,0.0472562,0.19654800000000025,0.4469860999999996,2.6656414299999924,5422907,0.9993710286160786,5425064,0.9997685355821256,5421241,0.9990640065458727,0,0.0,deterministic_hash_sample,1692,5426320
asset,independent_replication_30,,NVDA,1.0,36110417,1.0,0,36110417,1.0,0,36110417,395.450017,0.030168,0.0398397,0.07216,0.0468166,0.12013139999999999,0.17079519999999998,0.8375466599999981,36077197,0.9990800438554891,36101841,0.9997625062042347,36064218,0.9987206184852421,0,0.0,deterministic_hash_sample,11127,36110417
asset,independent_replication_30,,QQQ,1.0,53386555,1.0,0,53386555,1.0,0,53386555,339.187206,0.029813,0.039883,0.072587,0.046753,0.124987,0.174768,0.667275,53363336,0.99956507776162,53385086,0.9999724837086791,53348418,0.9992856441102071,0,0.0,deterministic_hash_sample,16201,53386555
asset,independent_replication_30,,SPY,1.0,108467030,1.0,0,108467030,1.0,0,108467030,2038.201887,0.029764,0.0405492,0.080845,0.0484847,1.6840628000000004,3.695793999999998,25.703455940000016,107905293,0.9948211267516037,108088940,0.9965142403180026,107694104,0.9928740927081713,0,0.0,deterministic_hash_sample,33275,108467030
asset,independent_replication_30,,TSLA,1.0,48996321,1.0,0,48996321,1.0,0,48996321,903.811535,0.029177,0.04043832,0.079799,0.048528800000000004,0.6799312000000015,3.7439369999999976,130.39905627999994,48505820,0.9899890238697717,48815230,0.9963039878034924,48353506,0.9868803414852311,0,0.0,deterministic_hash_sample,14785,48996321
asset,phase6,,AAPL,1.0,24647504,1.0,0,24647504,1.0,0,24647504,22629.082676,0.029582,0.0398168,0.071316,0.0468441,0.11475559999999994,0.17628549999999996,71.3770294399847,24382438,0.9892457264638237,24391606,0.9896176911057607,24375399,0.9889601397366646,0,0.0,deterministic_hash_sample,7499,24647504
asset,phase6,,AMZN,1.0,21398843,1.0,0,21398843,1.0,0,21398843,22829.285475,0.030391,0.03963112,0.072619,0.046933,0.12170319999999997,0.19913339999999963,14.931673080000023,21269281,0.9939453735886562,21273279,0.9941322061197421,21260934,0.9935553057705035,0,0.0,deterministic_hash_sample,6509,21398843
