granularity,cohort,session_date,asset,both_timestamps_completeness,both_timestamps_count,created_at_completeness,created_at_missing_count,created_at_non_null_count,executed_at_completeness,executed_at_missing_count,executed_at_non_null_count,latency_max_seconds,latency_min_seconds,latency_p1_seconds,latency_p50_seconds,latency_p5_seconds,latency_p90_seconds,latency_p95_seconds,latency_p99_seconds,latency_within_120_seconds_count,latency_within_120_seconds_share,latency_within_300_seconds_count,latency_within_300_seconds_share,latency_within_60_seconds_count,latency_within_60_seconds_share,negative_latency_count,negative_latency_share,percentile_method,quantile_sample_count,row_count
session,independent_replication_30,2025-02-25,,1.0,3520931,1.0,0,3520931,1.0,0,3520931,53.550353,0.03129,0.042032,0.086582,0.050419,2.639815,4.636046,13.878453700000035,3520931,1.0,3520931,1.0,3520931,1.0,0,0.0,exact_per_session,3520931,3520931
session,independent_replication_30,2025-02-26,,1.0,3273562,1.0,0,3273562,1.0,0,3273562,40.933832,0.031393,0.04128,0.07904,0.049029,0.3271127999999998,1.2198689499999997,4.5491277100000245,3273562,1.0,3273562,1.0,3273562,1.0,0,0.0,exact_per_session,3273562,3273562
session,independent_replication_30,2025-02-27,,1.0,3989712,1.0,0,3989712,1.0,0,3989712,75.672186,0.030955,0.042235,0.085216,0.050644,1.1347486999999998,3.4562108999999994,13.04104101000004,3989712,1.0,3989712,1.0,3989609,0.9999741836002197,0,0.0,exact_per_session,3989712,3989712
session,independent_replication_30,2025-02-28,,1.0,4034279,1.0,0,4034279,1.0,0,4034279,43.376129,0.031394,0.041563,0.082912,0.04966,1.0735192,3.3325614999999984,9.138077519999918,4034279,1.0,4034279,1.0,4034279,1.0,0,0.0,exact_per_session,4034279,4034279
session,independent_replication_30,2025-03-03,,1.0,3700784,1.0,0,3700784,1.0,0,3700784,83.012661,0.03078,0.04174783,0.089178,0.050206,2.999191100000002,5.409478,25.65676099999997,3700784,1.0,3700784,1.0,3697308,0.9990607395622116,0,0.0,exact_per_session,3700784,3700784
session,independent_replication_30,2025-03-04,,1.0,4083890,1.0,0,4083890,1.0,0,4083890,726.049148,0.031138,0.047576,0.121174,0.057783,6.361276700000001,178.73235804999993,598.5847521599999,3853518,0.9435900575186893,3971866,0.9725692905538592,3832381,0.9384143549409999,0,0.0,exact_per_session,4083890,4083890
session,independent_replication_30,2025-03-05,,1.0,3307525,1.0,0,3307525,1.0,0,3307525,97.891345,0.035854,0.048563,0.103439,0.058291,2.9346366000000006,5.405145999999985,42.06881891999998,3307525,1.0,3307525,1.0,3293810,0.9958533949100914,0,0.0,exact_per_session,3307525,3307525
session,independent_replication_30,2025-03-06,,1.0,3662498,1.0,0,3662498,1.0,0,3662498,42.739594,0.031777,0.045674,0.099338,0.054915,2.912726000000008,4.5328148499999985,19.208465,3662498,1.0,3662498,1.0,3662498,1.0,0,0.0,exact_per_session,3662498,3662498
session,independent_replication_30,2025-03-07,,1.0,4007450,1.0,0,4007450,1.0,0,4007450,2038.201887,0.031626,0.04475,0.124212,0.054624,77.14864040000016,707.718244599998,1852.3645278299996,3645473,0.9096739822081373,3693115,0.9215623401414865,3597583,0.8977237395351159,0,0.0,exact_per_session,4007450,4007450
session,independent_replication_30,2025-03-10,,1.0,4086831,1.0,0,4086831,1.0,0,4086831,100.414823,0.031146,0.042187,0.095009,0.050917,4.006849,5.00426,8.546544,4086831,1.0,4086831,1.0,4085834,0.999756045698978,0,0.0,exact_per_session,4086831,4086831
session,independent_replication_30,2025-03-11,,1.0,3917836,1.0,0,3917836,1.0,0,3917836,333.421474,0.031054,0.043131,0.132944,0.052544,7.203329500000001,68.3452355,194.4591333999992,3815065,0.9737684272644388,3904216,0.996523591084466,3707802,0.9463903032184093,0,0.0,exact_per_session,3917836,3917836
