asset,asset_date_groups,buffer_seconds,candidate_trade_count,created_at_missing_candidate_count,eligible_trade_count,eligible_trade_retention_share,late_record_count,origin_count,origins_with_candidate_activity,origins_with_eligible_activity
AAPL,180,60,22698512,0,22443947,0.9887849476652919,254565,12888,12887,12814
AAPL,180,120,22654914,0,22397983,0.9886589284779452,256931,12888,12887,12813
AAPL,180,300,22528274,0,22276349,0.9888173856550218,251925,12888,12708,12636
AMZN,180,60,19657100,0,19528197,0.9934424202959745,128903,12888,12887,12814
AMZN,180,120,19618349,0,19487555,0.993333078130071,130794,12888,12887,12814
AMZN,180,300,19503400,0,19376946,0.993516309976722,126454,12888,12708,12636
META,180,60,18959264,0,18817429,0.9925189606516371,141835,12888,12887,12814
META,180,120,18923300,0,18774022,0.9921114181987285,149278,12888,12887,12813
META,180,300,18819065,0,18686088,0.9929339209997946,132977,12888,12708,12636
MSFT,180,60,13651433,0,13530675,0.9911541887214331,120758,12888,12887,12813
MSFT,180,120,13619515,0,13495539,0.9908971795251152,123976,12888,12887,12813
MSFT,180,300,13529135,0,13412166,0.9913542883562031,116969,12888,12708,12635
NVDA,180,60,54126376,0,53807014,0.9940996973453387,319362,12888,12887,12803
NVDA,180,120,54018980,0,53699221,0.9940806175903358,319759,12888,12887,12802
NVDA,180,300,53702002,0,53385567,0.9941075753563154,316435,12888,12708,12625
TSLA,180,60,78980139,0,78674886,0.9961350663107847,305253,12888,12887,12813
TSLA,180,120,78839098,0,78525395,0.9960209717264903,313703,12888,12887,12813
TSLA,180,300,78395828,0,78111837,0.9963774730461422,283991,12888,12708,12636
