canonical_variant,session_date,asset,row_status,excluded_row_count
latency_5m_120s,2025-08-21,AAPL,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,2
latency_5m_120s,2025-08-21,AMZN,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,1
latency_5m_120s,2025-08-21,META,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,2
latency_5m_120s,2025-08-21,MSFT,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,2
latency_5m_120s,2025-08-21,NVDA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,1
latency_5m_120s,2025-08-21,TSLA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,2
latency_5m_120s,2025-09-18,NVDA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,12
latency_5m_120s,2025-10-20,AAPL,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
latency_5m_120s,2025-10-20,AMZN,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
latency_5m_120s,2025-10-20,META,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
latency_5m_120s,2025-10-20,MSFT,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
latency_5m_120s,2025-10-20,NVDA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
latency_5m_120s,2025-10-20,TSLA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
latency_5m_300s,2025-08-20,AAPL,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
latency_5m_300s,2025-08-20,AMZN,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
latency_5m_300s,2025-08-20,META,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
latency_5m_300s,2025-08-20,MSFT,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
latency_5m_300s,2025-08-21,AAPL,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,1
latency_5m_300s,2025-08-21,AAPL,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
latency_5m_300s,2025-08-21,AMZN,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,1
latency_5m_300s,2025-08-21,AMZN,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
latency_5m_300s,2025-08-21,META,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,1
latency_5m_300s,2025-08-21,META,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
latency_5m_300s,2025-08-21,MSFT,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,2
latency_5m_300s,2025-08-21,MSFT,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
latency_5m_300s,2025-08-21,NVDA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,1
latency_5m_300s,2025-08-21,NVDA,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
latency_5m_300s,2025-08-21,TSLA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,1
latency_5m_300s,2025-08-21,TSLA,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
latency_5m_300s,2025-09-18,NVDA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,11
latency_5m_300s,2025-09-18,NVDA,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
latency_5m_300s,2025-10-20,AAPL,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,71
latency_5m_300s,2025-10-20,AAPL,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
latency_5m_300s,2025-10-20,AMZN,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,71
latency_5m_300s,2025-10-20,AMZN,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
latency_5m_300s,2025-10-20,META,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,71
latency_5m_300s,2025-10-20,META,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
latency_5m_300s,2025-10-20,MSFT,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,71
latency_5m_300s,2025-10-20,MSFT,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
latency_5m_300s,2025-10-20,NVDA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,71
latency_5m_300s,2025-10-20,NVDA,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
latency_5m_300s,2025-10-20,TSLA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,71
latency_5m_300s,2025-10-20,TSLA,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
latency_5m_300s,2026-01-29,META,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
latency_5m_300s,2026-01-29,MSFT,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
latency_5m_300s,2026-02-05,META,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
latency_5m_300s,2026-02-05,MSFT,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,1
primary_5m_60s,2025-08-21,AAPL,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,1
primary_5m_60s,2025-08-21,AMZN,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,1
primary_5m_60s,2025-08-21,META,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,1
primary_5m_60s,2025-08-21,MSFT,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,2
primary_5m_60s,2025-08-21,NVDA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,1
primary_5m_60s,2025-08-21,TSLA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,2
primary_5m_60s,2025-09-18,NVDA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,11
primary_5m_60s,2025-10-20,AAPL,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
primary_5m_60s,2025-10-20,AMZN,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
primary_5m_60s,2025-10-20,META,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
primary_5m_60s,2025-10-20,MSFT,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
primary_5m_60s,2025-10-20,NVDA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
primary_5m_60s,2025-10-20,TSLA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
window_15m_60s,2025-09-18,NVDA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,9
window_15m_60s,2025-10-20,AAPL,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
window_15m_60s,2025-10-20,AMZN,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
window_15m_60s,2025-10-20,META,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
window_15m_60s,2025-10-20,MSFT,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
window_15m_60s,2025-10-20,NVDA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
window_15m_60s,2025-10-20,TSLA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
window_30m_60s,2025-09-18,NVDA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,5
window_30m_60s,2025-10-20,AAPL,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
window_30m_60s,2025-10-20,AMZN,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
window_30m_60s,2025-10-20,META,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
window_30m_60s,2025-10-20,MSFT,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
window_30m_60s,2025-10-20,NVDA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
window_30m_60s,2025-10-20,TSLA,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,72
