canonical_variant,row_status,row_count,eligible_row_count,excluded_row_count
latency_5m_120s,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,454,0,454
latency_5m_120s,PIT_USABLE_ELIGIBLE_ACTIVITY,75810,75810,0
latency_5m_120s,PIT_USABLE_ELIGIBLE_ACTIVITY_DELAY_CONTEXT,1058,1058,0
latency_5m_120s,PIT_USABLE_ZERO_NO_DELAY_INCIDENT,6,6,0
latency_5m_300s,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,444,0,444
latency_5m_300s,PIT_EXCLUDED_SOURCE_DELAY_CONTEXT_ZERO,21,0,21
latency_5m_300s,PIT_USABLE_ELIGIBLE_ACTIVITY,74757,74757,0
latency_5m_300s,PIT_USABLE_ELIGIBLE_ACTIVITY_DELAY_CONTEXT,1047,1047,0
latency_5m_300s,PIT_USABLE_ZERO_NO_DELAY_INCIDENT,1059,1059,0
primary_5m_60s,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,451,0,451
primary_5m_60s,PIT_USABLE_ELIGIBLE_ACTIVITY,75810,75810,0
primary_5m_60s,PIT_USABLE_ELIGIBLE_ACTIVITY_DELAY_CONTEXT,1061,1061,0
primary_5m_60s,PIT_USABLE_ZERO_NO_DELAY_INCIDENT,6,6,0
window_15m_60s,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,441,0,441
window_15m_60s,PIT_USABLE_ELIGIBLE_ACTIVITY,75816,75816,0
window_15m_60s,PIT_USABLE_ELIGIBLE_ACTIVITY_DELAY_CONTEXT,1071,1071,0
window_30m_60s,PIT_EXCLUDED_DELAYED_RAW_WINDOW_TRADES,437,0,437
window_30m_60s,PIT_USABLE_ELIGIBLE_ACTIVITY,75816,75816,0
window_30m_60s,PIT_USABLE_ELIGIBLE_ACTIVITY_DELAY_CONTEXT,1075,1075,0
