study_id,category,apa7_reference,authors,year,title,venue_or_status,doi_or_stable_url,full_text_status,claim_strength_allowed,evidence_location,page,section,table_or_figure,exact_claim_supported,verification_notes
LIT-001,intraday_realized_volatility,"Caporin, M., Di Fonzo, T., & Girolimetto, D. (2024). Exploiting intraday decompositions in realized volatility forecasting: A forecast reconciliation approach. Journal of Financial Econometrics, 22(5), 1759-1784. https://doi.org/10.1093/jjfinec/nbae014",Massimiliano Caporin; Tommaso Di Fonzo; Daniele Girolimetto,2024,Exploiting Intraday Decompositions in Realized Volatility Forecasting: A Forecast Reconciliation Approach,Journal of Financial Econometrics (published),https://doi.org/10.1093/jjfinec/nbae014,VERIFIED_FULL_TEXT,STRONG_FULL_TEXT,arXiv HTML full text,HTML lines 227-253; 254-260; 345-347,5 Does forecast reconciliation help in RV forecasting; 6 Robustness,Table 4; Tables 5-7; Figures 5-6,Forecast reconciliation improves forecast accuracy relative to direct or unreconciled component approaches in the reported out-of-sample comparisons.,"The HTML exposes the benchmark HAR comparison, QLIKE/MSE results, MCS block bootstrap and the 23/27 and 96.3%-100% counts. Do not transfer its daily target to RV30."
LIT-002,intraday_realized_volatility,"Zhang, Y., Song, Y., Peng, Y., & Wang, H. (2024). Volatility forecasting incorporating intraday positive and negative jumps based on deep learning model. Journal of Forecasting, 43(7), 2749-2765. https://doi.org/10.1002/for.3146",Yilun Zhang; Yuping Song; Ying Peng; Hanchao Wang,2024,Volatility forecasting incorporating intraday positive and negative jumps based on deep learning model,Journal of Forecasting (published),https://doi.org/10.1002/for.3146,VERIFIED_FULL_TEXT,STRONG_FULL_TEXT,Author-provided full-text PDF with Wiley publisher preview via ResearchGate; Wiley DOI record,PDF p. 10 (retrieved text lines 1448-1454 and 1559-1570); pp. 11-12 for robustness tables,3.2 Forecasting results; 3.3 feature-importance and Diebold-Mariano robustness,"Table 3; Tables 5, 7 and 8; Figure 5",The LSTM containing positive and negative jump volatility outperforms the compared econometric and machine-learning models out of sample; negative jumps have larger reported effects than positive jumps.,"The corresponding author uploaded the full text and the retrieval exposes Table 3, the train/test procedure, the 13-model comparison, jump-feature ablations and multi-step robustness tables. Its five-minute RV setting supports a candidate comparison, not transfer of its result to MDS650 RV30."
LIT-003,ordinary_option_state,"Michael, N., Cucuringu, M., & Howison, S. (2025). Options-driven volatility forecasting. Quantitative Finance, 25(3), 443-470. https://doi.org/10.1080/14697688.2025.2454623",Nikolas Michael; Mihai Cucuringu; Sam Howison,2025,Options-driven volatility forecasting,Quantitative Finance (published),https://doi.org/10.1080/14697688.2025.2454623,VERIFIED_FULL_TEXT,STRONG_FULL_TEXT,Taylor & Francis full-article HTML/search extract,HTML (pagination not exposed by retrieval),Methods; empirical forecast comparison,not recorded by retrieval,XGBoost beats the baseline in 76% of reported QLIKE cases; option-surface and model-derived features improve selected specifications.,"The full-article extract supports option-surface and activity features, HAR comparison, rolling origin construction and named LASSO/Elastic Net/XGBoost/Heston/Bates specifications. Numeric superiority claims remain bounded to the article text."
LIT-004,benchmark_comparison,"Díaz, J. D., Hansen, E., & Cabrera, G. (2024). Machine-learning stock market volatility: Predictability, drivers, and economic value. International Review of Financial Analysis, 94, 103286. https://doi.org/10.1016/j.irfa.2024.103286",Juan D. Díaz; Erwin Hansen; Gabriel Cabrera,2024,"Machine-learning stock market volatility: Predictability, drivers, and economic value",International Review of Financial Analysis (published),https://doi.org/10.1016/j.irfa.2024.103286,VERIFIED_PUBLISHER_METADATA_ONLY,METADATA_ONLY,Elsevier/Crossref publisher metadata and abstract index,not_available,abstract,not_available,ML beats HAR at one month but not six or twelve months; regularization and neural networks are the most competitive; economic gains are not substantial versus HAR.,The abstract supports the short-horizon versus long-horizon ML/HAR conclusion; exact model-by-model tables are not treated as verified text.
LIT-005,benchmark_comparison,"Li, S. Z., & Tang, Y. (2024). Automated volatility forecasting. Management Science, 71(7), 6248-6274. https://doi.org/10.1287/mnsc.2023.01520",Sophia Zhengzi Li; Yushan Tang,2024,Automated Volatility Forecasting,Management Science (published online 2024; issue 2025),https://doi.org/10.1287/mnsc.2023.01520,VERIFIED_PUBLISHER_METADATA_ONLY,METADATA_ONLY,INFORMS publisher abstract record,not_available,abstract,not_available,WAVG provides the strongest reported relative OOS R-squared among the listed ensemble/ML specifications across the reported horizons.,"Publisher metadata confirms more than 100 features, five ML algorithms, S&P 100 stocks and out-of-sample comparison; detailed feature/result coordinates are not available in this audit."
LIT-006,benchmark_comparison,"Kiliç, R. (2025). Linear and nonlinear econometric models against machine learning models: Realized volatility prediction. Finance and Economics Discussion Series, 2025-061. https://doi.org/10.17016/FEDS.2025.061",Rehim Kiliç,2025,Linear and nonlinear econometric models against machine learning models: realized volatility prediction,FEDS working paper (preprint/working paper),https://doi.org/10.17016/FEDS.2025.061,VERIFIED_FULL_TEXT,STRONG_FULL_TEXT,Federal Reserve FEDS PDF,PDF pp. 1-2,Abstract; empirical design and results sections,result tables in the PDF (exact table number pending line-level extraction),"THAR and STHAR consistently outperform the ML and linear alternatives when predictors are limited, especially under regime changes.","The PDF states ARFIMA, HAR, THAR, STHAR, MSHAR, XGBoost, deep feed-forward NN, BRNN, LSTM, LSTM-A and GRU, rolling forecasts from 2006 and the regime-switching result. It is explicitly preliminary working-paper evidence."
LIT-007,benchmark_comparison,"Li, Z.-C., Xie, C., Wang, G.-J., Zhu, Y., Zeng, Z.-J., & Gong, J. (2024). Forecasting global stock market volatilities: A shrinkage heterogeneous autoregressive (HAR) model with a large cross-market predictor set. International Review of Economics & Finance, 93(B), 673–711. https://doi.org/10.1016/j.iref.2024.05.008",Zhao-Chen Li; Chi Xie; Gang-Jin Wang; You Zhu; Zhi-Jian Zeng; Jue Gong,2024,Forecasting global stock market volatilities: A shrinkage heterogeneous autoregressive (HAR) model with a large cross-market predictor set,International Review of Economics & Finance (published),https://doi.org/10.1016/j.iref.2024.05.008,VERIFIED_ABSTRACT_ONLY,LIMITED_ABSTRACT,RePEc/publisher abstract record,not_available,abstract,not_available,Shrinkage HAR with LASSO or Elastic Net improves standard HAR in several markets and forecast dimensions; gains vary by market and evaluation criterion.,"The abstract supports shrinkage HAR, LASSO/Elastic Net, cross-market predictors and daily/weekly/monthly horizons; market-specific result tables require full text."
LIT-008,benchmark_comparison,"Puke, A., & Schweikert, M. (2026). Coherent forecasting of realized volatility. Journal of Forecasting, 45(4), 1714–1729. https://doi.org/10.1002/for.70114",Alexander Puke; Martin Schweikert,2026,Coherent Forecasting of Realized Volatility,Journal of Forecasting (published),https://doi.org/10.1002/for.70114,VERIFIED_ABSTRACT_ONLY,LIMITED_ABSTRACT,Wiley publisher record,not_available,abstract/metadata,not_available,The publisher record supports coherent HAR evaluation under QLIKE and MSE across horizons and stocks; exact table counts are excluded until the full text is independently captured.,The record supports the coherent-HAR and QLIKE/MSE design; the 99/87-percent figures in the matrix are not accepted without the full text table.
LIT-009,unusual_options_flow,"Asencio, F., Bernales, A., González, D., Holowczak, R., & Verousis, T. (2026). Decomposing informed trading in equity options. Journal of Econometrics, 253, 106131. https://doi.org/10.1016/j.jeconom.2025.106131",Felipe Asencio; Alejandro Bernales; Daniel González; Richard Holowczak; Thanos Verousis,2026,Decomposing informed trading in equity options,Journal of Econometrics (published),https://doi.org/10.1016/j.jeconom.2025.106131,VERIFIED_PUBLISHER_METADATA_ONLY,METADATA_ONLY,ScienceDirect publisher abstract record,not_available,abstract; introduction extract,not_available,The paper estimates informed-trading components rather than forecasting RV.,The publisher record supports the delta/vega informed-trading decomposition and Volmageddon association. It is not an RV forecast benchmark and sample/identification details remain unresolved.
LIT-010,benchmark_comparison,"Omer, T., Månsson, K., Sjölander, P., & Uddin, G. S. (2026). Machine learning approaches to forecast the realized volatility of crude oil prices. Journal of Forecasting, 45(4), 1633-1651. https://doi.org/10.1002/for.70107",Talha Omer; Kristofer Månsson; Pär Sjölander; Gazi Salah Uddin,2026,Machine Learning Approaches to Forecast the Realized Volatility of Crude Oil Prices,Journal of Forecasting (published),https://doi.org/10.1002/for.70107,VERIFIED_FULL_TEXT,STRONG_FULL_TEXT,Wiley full-article HTML,"HTML (volume 45, issue 4; printed pp. 1633-1651)",2.5 Artificial Neural Network; 3 Evaluation; 4.1 Data Description; 5.1 Short-Term Forecasts,Table 1; Table 2; Table 3; Appendix Tables A.1-A.5,RT/RF and regularization methods outperform basic HAR in selected WTI horizons; added currency predictors change relative performance by horizon.,"The article text supports five-minute WTI data, HAR/OLS benchmark, regularization/tree/RF/NN methods, MSFE/DM/MCS evaluation and the reported RF ranking. It is a commodity study, not evidence for equity options."
