study_id,category,apa7_reference,authors,year,title,venue_or_status,doi_or_stable_url,market_and_sample,data_frequency,research_question,predictors,target,exact_models,exact_benchmark,temporal_validation,leakage_controls,metrics,result,limitation,project_implication,verification_status
LIT-001,intraday_realized_volatility,"Caporin, M., Di Fonzo, T., & Girolimetto, D. (2024). Exploiting intraday decompositions in realized volatility forecasting: A forecast reconciliation approach. Journal of Financial Econometrics, 22(5), 1759-1784. https://doi.org/10.1093/jjfinec/nbae014","Massimiliano Caporin; Tommaso Di Fonzo; Daniele Girolimetto",2024,Exploiting Intraday Decompositions in Realized Volatility Forecasting: A Forecast Reconciliation Approach,Journal of Financial Econometrics (published),https://doi.org/10.1093/jjfinec/nbae014,"DJIA index and 26 constituents; realized-volatility decomposition into intraday components",high-frequency intraday observations aggregated to daily forecasts,"Does reconciling forecasts of intraday volatility components improve daily realized-volatility forecasts?","daily, weekly and monthly intraday component aggregates; good/bad volatility components",daily realized volatility and its intraday decomposition,"HAR-type component models; direct forecast reconciliation; bottom-up reconciliation; regression reconciliation",classic daily HAR and unreconciled component forecasts,rolling out-of-sample forecast evaluation with common forecast origins,component forecasts use only information available before each origin; no future component is used in reconciliation, MSE; QLIKE; Model Confidence Set,"Forecast reconciliation improves forecast accuracy relative to direct or unreconciled component approaches in the reported out-of-sample comparisons.","High-frequency decomposition and reconciliation design is specific to DJIA constituents and does not establish five-minute or 30-minute equity-option results.","Use HAR and QLIKE as recent, empirically applied benchmarks and preserve component provenance when testing intraday controls.",verified_primary_article
LIT-002,intraday_realized_volatility,"Zhang, Y., Song, Y., Peng, Y., & Wang, H. (2024). Volatility forecasting incorporating intraday positive and negative jumps based on deep learning model. Journal of Forecasting, 43(7), 2749-2765. https://doi.org/10.1002/for.3146","Yilun Zhang; Yuping Song; Ying Peng; Hanchao Wang",2024,Volatility forecasting incorporating intraday positive and negative jumps based on deep learning model,Journal of Forecasting (published),https://doi.org/10.1002/for.3146,High-frequency equity data used to construct realized volatility with signed jumps,5-minute intraday data,"Do signed intraday jump components improve realized-volatility forecasts?",continuous RV component; positive-jump RV; negative-jump RV; lagged volatility features,out-of-sample realized volatility,"LSTM; AdaBoost; Bagging; Decision Tree Regressor; ExtraTrees; Gradient Boosting Regressor; KNeighbors Regressor; Linear Regression; MLPRegressor; Random Forest Regressor; SVR; XGBoost Regressor",traditional econometric and machine-learning models without the signed-jump LSTM,train/test split with out-of-sample forecast evaluation; robustness across specifications,features are constructed from observations before the forecast origin; no contemporaneous/future jump inputs enter predictors,MSE; MAE; MSLE; MAPE; SMAPE; VaR backtest comparison,"The LSTM containing positive and negative jump volatility outperforms the compared econometric and machine-learning models out of sample; negative jumps have larger reported effects than positive jumps.","The study is not an options-flow study and its horizon and asset universe differ from the MDS650 RV30 target.","Signed-jump decomposition is a candidate robustness feature, not a substitute for PIT option-state validation.",verified_primary_article_and_full_text_table
LIT-003,ordinary_option_state,"Michael, N., Cucuringu, M., & Howison, S. (2025). Options-driven volatility forecasting. Quantitative Finance, 25(3), 443-470. https://doi.org/10.1080/14697688.2025.2454623","Nikolas Michael; Mihai Cucuringu; Sam Howison",2025,Options-driven volatility forecasting,Quantitative Finance (published),https://doi.org/10.1080/14697688.2025.2454623,"Equity-index and equity volatility data with option-implied surfaces and realized-volatility targets",daily option and realized-volatility observations,"Do option-implied surface and option-activity features add predictive information beyond HAR?",daily/weekly/monthly realized-volatility lags; implied-volatility-surface factors; Heston/Bates features; option volume and intraday option features,realized volatility,"LASSO; Elastic Net; XGBoost; HAR-augmented specifications; Heston and Bates model-derived feature variants",HAR baseline,rolling out-of-sample forecasts with Diebold-Mariano and Model Confidence Set comparisons,option features are lagged to the forecast origin; evaluation is out of sample and feature construction is based on information available at the origin,QLIKE; RMSE; MSE; R-squared; classification accuracy; Diebold-Mariano; Model Confidence Set,"XGBoost beats the baseline in 76% of reported QLIKE cases; option-surface and model-derived features improve selected specifications.","Option data, surface construction and horizons are not identical to the six-component MDS650 contract and quote design.","This is the closest recent ordinary-option-state evidence and motivates an independently validated B1 before B2 is interpreted.",verified_primary_article
LIT-004,benchmark_comparison,"Díaz, J. D., Hansen, E., & Cabrera, G. (2024). Machine-learning stock market volatility: Predictability, drivers, and economic value. International Review of Financial Analysis, 94, 103286. https://doi.org/10.1016/j.irfa.2024.103286","Juan D. Díaz; Erwin Hansen; Gabriel Cabrera",2024,"Machine-learning stock market volatility: Predictability, drivers, and economic value",International Review of Financial Analysis (published),https://doi.org/10.1016/j.irfa.2024.103286,S&P 500 realized volatility with financial and macroeconomic predictors,"daily data aggregated to one-month; six-month; and twelve-month horizons","Do ML methods improve S&P 500 realized-volatility forecasts and economic value?",financial indicators; macroeconomic variables; uncertainty proxies; HAR lags,realized volatility,"Ridge; LASSO; Elastic Net; Random Forest; Gradient Boosting; Neural Networks (NARX)",HAR,"temporal out-of-sample evaluation at one-month; six-month; and twelve-month horizons",models are evaluated out of sample and benchmark comparisons use the same target and forecast protocol; macro release-time treatment remains an applicability check,forecast accuracy by horizon; realized-utility and economic-value comparison,"ML beats HAR at one month but not six or twelve months; regularization and neural networks are the most competitive; economic gains are not substantial versus HAR.","The monthly horizon and macroeconomic information set are not transferable to the 30-minute equity target.","Pre-register model names and horizon-specific claims; do not generalize short-horizon gains to the 30-minute target.",verified_primary_article
LIT-005,benchmark_comparison,"Li, S. Z., & Tang, Y. (2024). Automated volatility forecasting. Management Science, 71(7), 6248-6274. https://doi.org/10.1287/mnsc.2023.01520","Sophia Zhengzi Li; Yushan Tang",2024,Automated Volatility Forecasting,Management Science (published online 2024; issue 2025),https://doi.org/10.1287/mnsc.2023.01520,S&P 100 firms with transfer-learning evaluation on S&P 500,high-frequency realized and implied-volatility features at daily forecasting frequency,"Can automated ML and a large volatility feature set improve HAR forecasts?",118 realized- and implied-variance features; HAR lags; option-implied variance features,realized variance,"LASSO; Principal Component Regression (PCR); Random Forest (RF); Gradient Boosted Regression Trees (GBRT); Neural Network (NN); simple average (SAVG); weighted average (WAVG)",OLSALL using all 118 features; HAR,rolling out-of-sample forecasts with validation-based hyperparameter selection and transfer-learning experiment,training/validation/test periods are separated; features are lagged and OOS predictions are evaluated only after the cutoff,relative out-of-sample R-squared versus HAR; economic variance-risk-premium evaluation,"WAVG provides the strongest reported relative OOS R-squared among the listed ensemble/ML specifications across the reported horizons.","The proprietary/high-dimensional feature construction and S&P100 focus limit direct comparability with the six-component MDS650 pilot.","Use exact model names and relative OOS R-squared conventions; require a common-origin comparison for B1/B2.",verified_primary_article
LIT-006,benchmark_comparison,"Kiliç, R. (2025). Linear and nonlinear econometric models against machine learning models: Realized volatility prediction. Finance and Economics Discussion Series, 2025-061. https://doi.org/10.17016/FEDS.2025.061","Rehim Kiliç",2025,Linear and nonlinear econometric models against machine learning models: realized volatility prediction,FEDS working paper (preprint/working paper),https://doi.org/10.17016/FEDS.2025.061,S&P 500 realized volatility from high-frequency data,high-frequency RV with rolling forecasts from 2006 onward,"Do regime-switching econometric models beat modern ML for RV forecasting?",lagged realized-volatility predictors and limited predictor sets,realized volatility,"ARFIMA; HAR; THAR; STHAR; MSHAR; Extreme Gradient Boosting; deep feed-forward neural network; BRNN; LSTM; LSTM-A; GRU",HAR and linear econometric models,rolling forecasts from 2006 onward with regime and predictor-set comparisons,rolling origin prevents future observations entering training; exact embargo/release controls are not required because predictors are lagged RV,forecast-error metrics; risk forecasts; economic utility and regime comparisons,"THAR and STHAR consistently outperform the ML and linear alternatives when predictors are limited, especially under regime changes.","Working-paper status and S&P 500-only design limit external validity; final published revision must be checked before citation as peer-reviewed.","Require regime definitions and transparent econometric baselines before interpreting ML gains.",verified_primary_working_paper
LIT-007,benchmark_comparison,"Li, Z.-C., Xie, C., Wang, G.-J., Zhu, Y., Zeng, Z.-J., & Gong, J. (2024). Forecasting global stock market volatilities: A shrinkage heterogeneous autoregressive (HAR) model with a large cross-market predictor set. International Review of Economics & Finance, 93(B), 673–711. https://doi.org/10.1016/j.iref.2024.05.008","Zhao-Chen Li; Chi Xie; Gang-Jin Wang; You Zhu; Zhi-Jian Zeng; Jue Gong",2024,Forecasting global stock market volatilities: A shrinkage heterogeneous autoregressive (HAR) model with a large cross-market predictor set,International Review of Economics & Finance (published),https://doi.org/10.1016/j.iref.2024.05.008,17 global equity markets with cross-market predictors and realized volatility,5-minute observations aggregated to daily realized volatility,"Do large cross-market predictor sets and shrinkage improve HAR volatility forecasts?",lagged HAR terms; more than 200 cross-market predictors; market and volatility features,realized volatility,"HAR; LASSO; Elastic Net",standard HAR and limited-predictor HAR,rolling in-sample/out-of-sample split from 2000–2022 with 3,061 out-of-sample observations,strict temporal split; predictors are lagged and selected within the training window,QLIKE ratios; Model Confidence Set; directional; density; and asset-allocation evaluations,"Shrinkage HAR with LASSO or Elastic Net improves standard HAR in several markets and forecast dimensions; gains vary by market and evaluation criterion.","The daily global-market target and cross-market data design do not establish intraday equity-option value.","Use HAR as a predeclared control; LightGBM remains a named candidate for this project but is not evaluated in this study; treat LASSO/Elastic Net as explicitly named secondary benchmark candidates only after PIT and asset-freeze gates.",verified_primary_article
LIT-008,benchmark_comparison,"Puke, A., & Schweikert, M. (2026). Coherent forecasting of realized volatility. Journal of Forecasting, 45(4), 1714–1729. https://doi.org/10.1002/for.70114","Alexander Puke; Martin Schweikert",2026,Coherent Forecasting of Realized Volatility,Journal of Forecasting (published),https://doi.org/10.1002/for.70114,28 DJIA constituents from the CaPiRe database after exclusions,1-minute and 5-minute prices with realized-volatility measures,"Does coherent forecast reconciliation improve realized-volatility forecasts across horizons and loss functions?",daily/weekly/monthly HAR components and coherent reconciliation constraints,realized volatility,"mseHAR; qlikeHAR; mseSHAR; qlikeSHAR",direct HAR forecasts without coherent reconciliation,rolling windows of 250–2,000 observations; evaluation 2012–2024; 504 stock-horizon cases,strict rolling origin; no future component enters reconciliation; Diebold–Mariano–West tests use Newey–West corrections,QLIKE and MSE; individual and panel DMW tests,"qlikeHAR outperforms mseHAR in 99% of cases under QLIKE and is significant in 87%; coherent reconciliation is evaluated across horizons and stocks.","Daily DJIA constituents and reconciliation targets differ from five-minute RV30 and option-flow predictors; HARQ is a separate measurement-error-aware candidate and is not evaluated in this study.","Justifies QLIKE as the primary loss and motivates a reconciliation robustness analysis without importing the study's daily target.",verified_primary_article
LIT-009,unusual_options_flow,"Asencio, F., Bernales, A., González, D., Holowczak, R., & Verousis, T. (2026). Decomposing informed trading in equity options. Journal of Econometrics, 253, 106131. https://doi.org/10.1016/j.jeconom.2025.106131","Felipe Asencio; Alejandro Bernales; Daniel González; Richard Holowczak; Thanos Verousis",2026,"Decomposing informed trading in equity options","Journal of Econometrics (published)",https://doi.org/10.1016/j.jeconom.2025.106131,"Multi-asset equity options and underlying stocks with intraday order flow","intraday option trades and price responses","Can option order flow be decomposed into stock-value-informed and volatility-informed components?","option order flow; delta and vega exposures; intraday price responses","not a direct RV forecast target; informed-trading components","multi-asset structural decomposition model; delta/vega response regressions","not a forecast benchmark; economic decomposition study","intraday identification using price responses and cross-asset information; daily event application","no future prices are used to define the contemporaneous response; exact availability timestamps are source-specific","stock-price response share; option-spread decomposition; Volmageddon anticipation; straddle association","The paper estimates informed-trading components rather than forecasting RV.","Exact sample dates and data license details require full-text audit.","Use only to motivate B2 feature interpretation and avoid treating flow labels as directional intent; it cannot establish incremental RV forecast skill.",verified_primary_publisher_record
LIT-010,benchmark_comparison,"Omer, T., Månsson, K., Sjölander, P., & Uddin, G. S. (2026). Machine learning approaches to forecast the realized volatility of crude oil prices. Journal of Forecasting, 45(4), 1633-1651. https://doi.org/10.1002/for.70107","Talha Omer; Kristofer Månsson; Pär Sjölander; Gazi Salah Uddin",2026,Machine Learning Approaches to Forecast the Realized Volatility of Crude Oil Prices,Journal of Forecasting (published),https://doi.org/10.1002/for.70107,West Texas Intermediate crude-oil futures,high-frequency realized-volatility data with daily/weekly/monthly horizons,"Do ML, regularization and external predictors improve HAR forecasts of oil RV?",daily/weekly/monthly RV lags; uncertainty indices; exchange rates,realized volatility,"Ridge Regression (RR); LASSO; Elastic Net (ELNET); Regression Trees (RT); Random Forest (RF); Neural Networks (NN5, NN10); sparse-group LASSO (sg-LASSO); HAR; HAR-XX",basic HAR and HAR-XX models,temporal forecast comparisons across horizons with robustness to predictor sets,only lagged RV and predetermined external predictors are used; exact release-time audit of uncertainty indices remains a source follow-up,MSFE ratios; Diebold-Mariano; Model Confidence Set; VaR coverage,"RT/RF and regularization methods outperform basic HAR in selected WTI horizons; added currency predictors change relative performance by horizon.","Commodity-futures results are not transferable to equity options or the 30-minute horizon; the paper reports 6–7 missing values imputed with backward/forward random-walk procedures, which is not transferable without a separate missing-data decision.","Use as a recent empirical justification for naming HAR, RR, LASSO, ELNET, RT, RF and NN comparators; prohibit importing its imputation or release-time assumptions into MDS650.",verified_primary_article
